name,z,fsigma8,sigma,omega_m_ref,group,source
Huterer2016,0.02,0.428,0.0465,0.3,diag,Sagredo2018_TableI
TurnbullHudson,0.02,0.398,0.065,0.3,diag,Sagredo2018_TableI
DavisHudson,0.02,0.314,0.048,0.266,diag,Sagredo2018_TableI
Feix2015,0.10,0.370,0.130,0.3,diag,Sagredo2018_TableI
Howlett2014,0.15,0.490,0.145,0.31,diag,Sagredo2018_TableI
Song2008,0.17,0.510,0.060,0.3,diag,Sagredo2018_TableI
Blake2013_z018,0.18,0.360,0.090,0.27,diag,Sagredo2018_TableI
Blake2013_z038,0.38,0.440,0.060,0.27,diag,Sagredo2018_TableI
Samushia2011_z025,0.25,0.3512,0.0583,0.25,diag,Sagredo2018_TableI
Samushia2011_z037,0.37,0.4602,0.0378,0.25,diag,Sagredo2018_TableI
Sanchez2013,0.32,0.384,0.095,0.274,diag,Sagredo2018_TableI
Chuang2013,0.59,0.488,0.060,0.307115,diag,Sagredo2018_TableI
WiggleZ_z044,0.44,0.413,0.080,0.27,WiggleZ,Sagredo2018_TableI
WiggleZ_z060,0.60,0.390,0.063,0.27,WiggleZ,Sagredo2018_TableI
WiggleZ_z073,0.73,0.437,0.072,0.27,WiggleZ,Sagredo2018_TableI
Pezzotta2016_z060,0.60,0.550,0.120,0.3,diag,Sagredo2018_TableI
Pezzotta2016_z086,0.86,0.400,0.110,0.3,diag,Sagredo2018_TableI
Okumura2015,1.40,0.482,0.116,0.27,diag,Sagredo2018_TableI
eBOSS_DR14_z0978,0.978,0.379,0.176,0.31,SDSSIV,Sagredo2018_TableI
eBOSS_DR14_z123,1.23,0.385,0.099,0.31,SDSSIV,Sagredo2018_TableI
eBOSS_DR14_z1526,1.526,0.342,0.070,0.31,SDSSIV,Sagredo2018_TableI
eBOSS_DR14_z1944,1.944,0.364,0.106,0.31,SDSSIV,Sagredo2018_TableI
BOSS_DR12_CMASS_2024,0.525,0.462,0.020,0.31,diag,MannaDesai2024_added_point
