a,z,E,Omega_m,Omega_r,Omega_R,closure,dlnE_dln_a,q,w_R,Q_T,alpha_M,dL_GW_over_dL_EM,source
1e-08,99999999.0,94869910930705.53,3.333222225925802e-05,0.9999666677777406,3.0313536788998364e-23,0.9999999999999998,-1.9999833338888702,0.9999833338888702,-0.7333355554814838,1.0,-3.7308657457983915e-23,0.8548706604825353,9.0003e+27
1.0633265716371605e-08,94044484.17263523,83906502349969.12,3.5442962806434355e-05,0.9999645570371933,3.689514402246552e-23,0.9999999999999998,-1.9999822785185966,0.9999822785185966,-0.7333356961975201,1.0,-4.540900566665991e-23,0.8548706604825353,7.040301136605373e+27
1.1306633979496399e-08,88443650.9138599,74210058152905.78,3.7687359541054705e-05,0.9999623126404588,4.4905730279893774e-23,0.9999999999999998,-1.999981156320229,0.999981156320229,-0.7333358458239693,1.0,-5.526807038189923e-23,0.8548706604825353,5.507132731057656e+27
1.202264434617413e-08,83176376.11026709,65634163839306.625,4.007387517408445e-05,0.9999599261248256,5.46555498321513e-23,0.9999999999999998,-1.9999799630624124,0.9999799630624124,-0.7333360049250115,1.0,-6.726769509813033e-23,0.8548706604825353,4.3078434628849444e+27
1.2783997194630231e-08,78222794.63860029,58049325059548.56,4.261150816409801e-05,0.999957388491836,6.652221771406308e-23,1.0000000000000002,-1.9999786942459181,0.9999786942459181,-0.733336174100544,1.0,-8.187262653668586e-23,0.8548706604825353,3.3697241398691333e+27
1.359356390878527e-08,73564224.44596407,51341012264211.05,4.5309826622537926e-05,0.9999546901733775,8.096533461442979e-23,1.0,-1.9999773450866885,0.9999773450866885,-0.7333363539884412,1.0,-9.964851382536774e-23,0.8548706604825353,2.635899540313869e+27
1.4454397707459279e-08,69183096.09189363,45407931320722.36,4.8179004363230196e-05,0.9999518209956366,9.854428698219308e-23,0.9999999999999999,-1.999975910497818,0.9999759104978181,-0.7333365452669574,1.0,-1.2128381543481222e-22,0.8548706604825353,2.0618802268274384e+27
1.5369745159352708e-08,65062886.48655574,40160493983502.03,5.122985923157256e-05,0.9999487701407684,1.199399117107117e-22,1.0,-1.9999743850703844,0.9999743850703844,-0.7333367486572819,1.0,-1.4761646225786264e-22,0.8548706604825353,1.612865276998903e+27
1.634305842723136e-08,61188056.57518226,35519465121841.03,5.4473893857337606e-05,0.9999455261061422,1.4598086442436054e-22,0.9999999999999996,-1.9999727630530701,0.9999727630530701,-0.7333369649262571,1.0,-1.7966630940040856e-22,0.8548706604825353,1.261632402541681e+27
1.7378008287493763e-08,57543992.73371567,31414766278780.492,5.7923338984096165e-05,0.9999420766610158,1.7767571254509084e-22,0.9999999999999999,-1.9999710383305074,0.9999710383305074,-0.7333371948892654,1.0,-2.1867463341841104e-22,0.8548706604825353,9.868875403504037e+26
1.8478497974222906e-08,54116951.654646374,27784417494840.15,6.159119953789002e-05,0.9999384088004617,2.162519960145723e-22,0.9999999999999996,-1.9999692044002302,0.9999692044002302,-0.7333374394133024,1.0,-2.661522045656775e-22,0.8548706604825353,7.719738555275791e+26
1.964867789993466e-08,50894008.51518094,24573601418229.86,6.549130360801606e-05,0.9999345086963922,2.6320376837474226e-22,1.0000000000000002,-1.9999672543481963,0.9999672543481963,-0.7333376994202403,1.0,-3.239377956741734e-22,0.8548706604825353,6.038618866620287e+26
2.0892961308540408e-08,47863008.2322638,21733835569698.195,6.963835452364585e-05,0.9999303616454763,3.2034945931397547e-22,1.0,-1.999965180822738,0.9999651808227381,-0.7333379758903014,1.0,-3.9426939342974844e-22,0.8548706604825353,4.7235960857067845e+26
2.2216040919558116e-08,45012519.62061337,19222240263292.875,7.404798622155404e-05,0.9999259520137785,3.8990229948385223e-22,1.0,-1.9999629760068893,0.9999629760068893,-0.7333382698657478,1.0,-4.798708696785565e-22,0.8548706604825353,3.694945207397578e+26
2.3622906626344603e-08,42331792.28088211,17000891128705.156,7.87368221124926e-05,0.9999212631778875,4.745560348588553e-22,1.0,-1.9999606315889438,0.9999606315889438,-0.7333385824548073,1.0,-5.840574690465606e-22,0.8548706604825353,2.890302991700857e+26
2.511886431509582e-08,39810716.05534969,15036246458348.438,8.372253766677349e-05,0.9999162774623331,5.7758924998391e-22,0.9999999999999999,-1.9999581387311667,0.9999581387311667,-0.7333389148358442,1.0,-7.1086419775320065e-22,0.8548706604825353,2.260887075561959e+26
2.6709555875589852e-08,37439782.89823811,13298640732165.805,8.902392695346209e-05,0.9999109760730466,7.029923400567865e-22,1.0,-1.9999554880365238,0.9999554880365238,-0.7333392682617966,1.0,-8.65202085257974e-22,0.8548706604825353,1.7685384532321946e+26
2.8400980479142137e-08,35210051.01684521,11761836672439.465,9.466097338228323e-05,0.9999053390266177,8.556220488239948e-22,1.0,-1.9999526695133087,0.9999526695133087,-0.7333396440648918,1.0,-1.0530483696246118e-21,0.8548706604825353,1.3834080190914186e+26
3.0199517204020194e-08,33113111.148259073,10402629064674.457,0.00010065492491294542,0.9998993450750875,1.0413895566856172e-21,1.0000000000000004,-1.9999496725375445,0.9999496725375445,-0.7333400436616605,1.0,-1.2816779710014882e-21,0.8548706604825353,1.082146914572098e+26
3.211194909364824e-08,31141054.844467584,9200494362290.145,0.00010702837401316787,0.9998929716259871,1.2674894025328119e-21,1.0000000000000002,-1.9999464858129936,0.9999464858129936,-0.7333404685582674,1.0,-1.5599452162465889e-21,0.8548706604825353,8.464909651053276e+25
3.4145488738336004e-08,29286444.646252375,8137280784184.748,0.00011380534266429898,0.9998861946573357,1.5426781039769012e-21,1.0,-1.999943097328668,0.999943097328668,-0.7333409203561774,1.0,-1.8986267233530338e-21,0.8548706604825353,6.621533856066236e+25
3.6307805477010175e-08,27542286.033381633,7196934225678.074,0.00012101137273209501,0.9998789886272677,1.877613264982505e-21,0.9999999999999998,-1.9999394943136335,0.9999394943136335,-0.733341400758182,1.0,-2.3108387222681117e-21,0.8548706604825353,5.179586224873645e+25
3.8607054321538154e-08,25902001.045313224,6365255844114.846,0.00012867362204007428,0.9998713263779597,2.2852663019865566e-21,0.9999999999999998,-1.9999356631889795,0.9999356631889795,-0.7333419115748026,1.0,-2.812544970601175e-21,0.8548706604825353,4.051648196103819e+25
4.1051906712730784e-08,24359403.472920272,5629687658695.9,0.00013682096650392508,0.9998631790334963,2.7814247700348946e-21,1.0000000000000002,-1.9999315895167487,0.9999315895167487,-0.7333424547310999,1.0,-3.423174930127473e-21,0.8548706604825353,3.1693383134472937e+25
4.3651583224016566e-08,22908675.52767775,4979122927117.527,0.00014548410870779185,0.9998545158912926,3.3853037396394344e-21,1.0000000000000004,-1.9999272579456469,0.9999272579456469,-0.7333430322739135,1.0,-4.1663761386647595e-21,0.8548706604825353,2.479166512334742e+25
4.641588833612782e-08,21544345.900318824,4403738435725.594,0.00015469569332700092,0.9998453043066732,4.120289897240591e-21,1.0000000000000002,-1.9999226521533364,0.9999226521533364,-0.7333436463795548,1.0,-5.070929907033845e-21,0.8548706604825353,1.9392912210286902e+25
4.935524741394806e-08,20261269.126211435,3894846170783.908,0.00016449042982695573,0.999835509570173,5.014847180779786e-21,0.9999999999999999,-1.9999177547850862,0.9999177547850862,-0.7333442993619883,1.0,-6.1718657934618015e-21,0.8548706604825353,1.5169826694070072e+25
5.248074602497723e-08,19054606.17963248,3444762131108.6846,0.0001749052228946535,0.9998250947771055,6.103619015842019e-21,1.0000000000000002,-1.9999125473885528,0.9999125473885528,-0.733344993681526,1.0,-7.51181800262266e-21,0.8548706604825353,1.1866386139920446e+25
5.580417174769969e-08,17919806.223753322,3046690301154.5957,0.00018597931108760738,0.9998140206889121,7.428769829170929e-21,0.9999999999999998,-1.9999070103444554,0.9999070103444554,-0.7333457319540724,1.0,-9.142676221288811e-21,0.8548706604825353,9.282321791149478e+24
5.9338058627532806e-08,16852589.44750751,2694620032558.669,0.00019775441421502756,0.9998022455857852,9.041617779669348e-21,1.0000000000000002,-1.999901122792893,0.9999011227928929,-0.7333465169609474,1.0,-1.1127594799646095e-20,0.8548706604825353,7.260977119866484e+24
6.30957344480193e-08,15848930.924611142,2383235284614.8887,0.00021027488999799635,0.9997897251100021,1.1004621920771667e-20,1.0,-1.9998948625550013,0.9998948625550013,-0.733347351659333,1.0,-1.3543438057668556e-20,0.8548706604825353,5.67981042183341e+24
6.709137099554119e-08,14905045.433861947,2107834353221.2764,0.00022358790058917544,0.9997764120994107,1.3393800728589868e-20,0.9999999999999999,-1.999888206049705,0.999888206049705,-0.7333482391933723,1.0,-1.6483756376176502e-20,0.8548706604825353,4.442965660619756e+24
7.134003750712564e-08,14017373.183467694,1864258876215.8086,0.00023774358956842907,0.9997622564104313,1.6301675628433652e-20,0.9999999999999997,-1.9998811282052154,0.9998811282052154,-0.7333491829059711,1.0,-2.0062408275339905e-20,0.8548706604825353,3.4754611575494285e+24
7.585775750291836e-08,13182566.385564074,1648831043090.1187,0.0002527952700687453,0.9997472047299312,1.9840853474312225e-20,0.9999999999999999,-1.9998736023649653,0.9998736023649653,-0.7333501863513378,1.0,-2.441796868410352e-20,0.8548706604825353,2.718643808657648e+24
8.066156921766127e-08,12397476.630289454,1458298060955.4458,0.0002687996247270854,0.9997312003752725,2.41483866681377e-20,0.9999999999999996,-1.9998656001876356,0.9998656001876356,-0.7333512533083151,1.0,-2.971909402931587e-20,0.8548706604825353,2.1266332345864124e+24
8.576958985908945e-08,11659143.011798311,1289783038203.6343,0.0002858169181974695,0.9997141830818023,2.939107970445104e-20,0.9999999999999998,-1.9998570915409004,0.9998570915409004,-0.7333523877945464,1.0,-3.6171051799993983e-20,0.8548706604825353,1.6635402856377969e+24
9.120108393559096e-08,10964780.961431852,1140741544212.7559,0.0003039112230087744,0.999696088776991,3.57719475570109e-20,0.9999999999999998,-1.9998480443884952,0.9998480443884952,-0.7333535940815337,1.0,-4.4023667302065257e-20,0.8548706604825353,1.3012912706929025e+24
9.697653591082487e-08,10311771.745930558,1008923189154.4175,0.0003231506595975994,0.9996768493404026,4.3538075902554154e-20,1.0000000000000002,-1.9998384246702015,0.9998384246702015,-0.7333548767106395,1.0,-5.358099515454495e-20,0.8548706604825353,1.0179260016135206e+24
1.031177274593056e-07,9697652.591082485,892337643763.0232,0.00034360765139718625,0.9996563923486028,5.299018742879858e-20,1.0,-1.9998281961743014,0.9998281961743014,-0.7333562405100928,1.0,-6.521308980964455e-20,0.8548706604825353,7.962664704765441e+23
