a,z,E,Omega_m,Omega_r,Omega_R,closure,dlnE_dln_a,q,w_R,Q_T,alpha_M,dL_GW_over_dL_EM,source,X,Q_X,Q_XX,V,V_X,V_XX,L_R3,L_KR3_trace,F_XX
1e-07,9999999.0,948841398759.561,0.00033322225924691754,0.999666777740753,4.803219110045089e-20,0.9999999999999999,-1.9998333888703763,0.9998333888703763,-0.7333555481506162,1.0,-5.911161815586719e-20,0.8548706604825353,9.003000000000002e+23,948841398759.561,3.1151962261631304e-32,-8.536210792435468e-44,1.9969851541826883e+17,210465.64334091905,-1.5336509607099512e-17,1.0,1.0383987420543768e-32,-6.0
1.2232071190499325e-07,8175229.379436494,634175960519.4998,0.00040756952570152884,0.9995924304742985,9.15180078697172e-20,1.0,-1.9997962152371491,0.9997962152371491,-0.7333605046350465,1.0,-1.1262607123932555e-19,0.8548706604825353,4.021791489008301e+23,634175960519.4998,8.880622663075606e-32,-3.640885237130279e-43,1.3347225152192638e+17,210465.6433408883,0.0,1.0,2.9602075543585353e-32,-6.0
1.4962356560944328e-07,6683438.175686149,423866924665.9463,0.0004984965959043997,0.9995015034040958,1.7437127871572711e-19,1.0000000000000002,-1.999750751702048,0.9997507517020481,-0.7333665664397266,1.0,-2.1458405888432153e-19,0.8548706604825353,1.79663169825767e+23,423866924665.9463,2.531582344415519e-31,-1.5528727801195145e-42,8.920942499061002e+16,210465.64334084932,-3.433132990799654e-17,1.0,8.438607814718397e-32,-6.0
1.830206106311057e-07,5463864.49881854,283304641012.66296,0.0006096967452016632,0.9993903032547979,3.322280491853334e-19,0.9999999999999996,-1.9996951516273984,0.9996951516273984,-0.7333739797830132,1.0,-4.08833734886486e-19,0.8548706604825353,8.02615196193138e+22,283304641012.66296,7.21654363081045e-31,-6.622910720049956e-42,5.962589353206591e+16,210465.64334079952,5.13649023801848e-17,1.0,2.4055145436034834e-31,-6.0
2.2387211385683377e-07,4466834.921509635,189357817050.0465,0.0007456839200712612,0.9992543160799288,6.329785851030669e-19,1.0,-1.999627158039965,0.9996271580399649,-0.733383045594671,1.0,-7.789053349106483e-19,0.8548706604825353,3.5856382877958886e+22,189357817050.0465,2.0570858346840724e-30,-2.8245061404090225e-41,3.9853314786951656e+16,210465.64334073616,0.0,1.0,6.856952782280241e-31,-6.0
2.7384196342643614e-07,3651740.272548377,126566676957.66245,0.0009119740888378489,0.9990880259111622,1.2059552546538112e-18,1.0,-1.999544012955581,0.999544012955581,-0.7333941316059223,1.0,-1.4839142211294468e-18,0.8548706604825353,1.6019123716105282e+22,126566676957.66245,5.8635205442301256e-30,-1.2045155785797635e-40,2.6637937091312016e+16,210465.6433406555,1.1497430112197225e-16,1.0,1.9545068480767087e-30,-6.0
3.3496543915782793e-07,2985381.6189179574,84598677812.94168,0.00111530616712587,0.9988846938328737,2.2975262270662868e-18,0.9999999999999996,-1.999442346916436,0.999442346916436,-0.7334076870778083,1.0,-2.826936142490757e-18,0.8548706604825353,7.156936287697908e+21,84598677812.94168,1.6712581450805656e-29,-5.1363346200903406e-40,1.7805115151600206e+16,210465.64334055278,1.7201114254922403e-16,1.0,5.5708604836018855e-30,-6.0
4.0973210981354135e-07,2440618.068041981,56548049093.30655,0.0013639109057351222,0.9986360890942647,4.3769742977037984e-18,0.9999999999999999,-1.999318044547132,0.9993180445471319,-0.7334242607270489,1.0,-5.3852084270265916e-18,0.8548706604825353,3.197681856259007e+21,56548049093.30655,4.7632459261262535e-29,-2.1900736817750397e-39,1.1901421532016848e+16,210465.64334042193,2.573371753971607e-16,1.0,1.5877486420420844e-29,-6.0
5.011872336272725e-07,1995261.3149688789,37799297055.886795,0.0016678377820771146,0.9983321622179233,8.338121919215847e-18,1.0000000000000004,-1.9991660811089624,0.9991660811089624,-0.7334445225188049,1.0,-1.025802493602922e-17,0.8548706604825353,1.4287868579191726e+21,37799297055.886795,1.357472850010992e-28,-9.337288480120274e-39,7955453372632647.0,210465.64334025537,0.0,1.0,4.52490950003664e-29,-6.0
6.130557921498202e-07,1631171.9092278397,25267632194.898293,0.0020393518522818237,0.9979606481477181,1.5883233632113168e-17,1.0,-1.998980324073859,0.9989803240738591,-0.7334692901234852,1.0,-1.953862862354609e-17,0.8548706604825353,6.384532367366607e+20,25267632194.898293,3.8683077006857198e-28,-3.980428378168312e-38,5317968465541418.0,210465.64334004335,0.0,1.0,1.2894359002285732e-28,-6.0
7.498942093324558e-07,1333520.432163324,16891311421.167175,0.0024934147069408546,0.997506585293059,3.025386106758314e-17,0.9999999999999999,-1.9987532926465295,0.9987532926465295,-0.7334995609804624,1.0,-3.7212310414832265e-17,0.8548706604825353,2.853164015268526e+20,16891311421.167175,1.1022093070668023e-27,-1.6965788665825091e-37,3555040725076538.0,210465.64333977326,8.615029861303221e-16,1.0,3.6740310235560077e-28,-5.999999999999999
9.172759353897804e-07,1090183.4923851267,11292346302.930256,0.0030482661141287516,0.9969517338858709,5.762188978451223e-17,0.9999999999999998,-1.998475866942935,0.998475866942935,-0.7335365510742751,1.0,-7.086520377968818e-17,0.8548706604825353,1.2751708502530258e+20,11292346302.930256,3.1401467446650403e-27,-7.230013423129264e-37,2376650929430714.0,210465.64333942946,1.2886529370559334e-15,1.0,1.0467155815550135e-27,-5.999999999999999
1.122018454301963e-06,891249.9381337458,7549738057.610523,0.0037261255754774355,0.9962738744245225,1.0973652022499629e-16,1.0,-1.9981369372122613,0.9981369372122613,-0.7335817417050317,1.0,-1.3493451964474177e-16,0.8548706604825353,5.699854473853271e+19,7549738057.610523,8.94470321711778e-27,-3.080402021568022e-36,1588960477312774.5,210465.64333899182,3.854945726126583e-15,1.0,2.9815677390392597e-27,-5.9999999999999964
1.3724609610075625e-06,728617.1745132274,5047919373.144739,0.004554035749089678,0.9954459642509099,2.0895960718527548e-16,0.9999999999999998,-1.9977229821254547,0.9977229821254547,-0.7336369357166058,0.9999999999999999,-2.568882520676505e-16,0.8548706604825353,2.5481489997769966e+19,5047919373.144739,2.5473966201350412e-26,-1.3120715140699634e-35,1062413598369795.8,210465.64333843478,2.8827550821680107e-15,0.9999999999999999,8.491322067116804e-27,-5.999999999999997
1.678804018122559e-06,595661.1435290109,3375460468.934964,0.005564872293851006,0.9944351277061483,3.978408340031679e-16,0.9999999999999998,-1.9972175638530736,0.9972175638530736,-0.7337043248195899,0.9999999999999999,-4.889690469471274e-16,0.8548706604825353,1.139373337734264e+19,3375460468.934964,7.253088308114065e-26,-5.586802091459929e-35,710418459138721.2,210465.64333772557,0.0,0.9999999999999999,2.4176961027046884e-26,-6.0
2.053525026457146e-06,486966.5251658631,2257369129.3746862,0.006798546801522261,0.9932014531984771,7.573176316594947e-16,1.0,-1.9966007265992378,0.9966007265992378,-0.733786569786768,0.9999999999999997,-9.304990360847762e-16,0.8548706604825355,5.095715386253826e+18,2257369129.3746862,2.0645343883650258e-25,-2.3778961704564475e-34,475098646048278.6,210465.64333682306,6.4464048171187004e-15,0.9999999999999997,6.881781294550086e-26,-5.999999999999994
2.5118864315095823e-06,398106.1705534969,1509843206.6585665,0.008303430523475595,0.9916965694765232,1.4412895563772027e-15,1.0000000000000002,-1.9958482847382606,0.9958482847382606,-0.7338868953682317,0.9999999999999994,-1.77021248548099e-15,0.8548706604825356,2.27962650869302e+18,1509843206.6585665,5.874433950475894e-25,-1.0115969792366857e-33,317770121813261.5,210465.6433356745,9.638030733476969e-15,0.9999999999999994,1.9581446501586314e-25,-5.99999999999999
