a,z,E,dE_dln_a,d2E_dln_a2,Hdot_over_H0_sq,Hddot_over_H0_cu,background_denominator,Q,Q_X,Q_XX,V,V_X,V_XX,Omega,c_hat,Lambda_hat,M2_4_hat,M1_3_hat,M2_bar_hat,M3_bar_hat,Mhat2_hat,m2_sq_hat,m5_bar_hat,deltaR_deltaK_coefficient_hat,F_hat,Fdot_hat
1e-07,9999999.0,948841398759.561,-1897524709981.841,3794891306087.2583,-1.8004500000000005e+24,6.832939006957167e+36,1897682797519.122,1.0,3.1151962261631304e-32,-8.53621079203836e-44,1.9969851541826883e+17,210465.64334091905,7.093985147143527e-20,0.0,-10648.51411961043,58480.45513339722,5324.257059805215,5.6087550453954094e-08,5.911654289286255e-21,0.0,0.0,0.0,-1.0383987420543768e-32,-5.191993710271884e-33,1897682727363.9077,-3.600900000000001e+24
1.2232071190499325e-07,8175229.379436494,634175960519.4998,-1268222685641.2793,2536316109548.634,-8.042763398191779e+23,2.0400549539649502e+36,1268351921038.9995,1.0,8.880622663075606e-32,-3.640885237132323e-43,1.3347225152192638e+17,210465.6433408883,1.3516505777681307e-19,0.0,-9064.247622612616,49784.59166504911,4532.123811306308,7.142474690773688e-08,1.1263754814734419e-20,0.0,0.0,0.0,-2.9602075543585353e-32,-1.4801037771792677e-32,1268351850883.7852,-1.6085526796383558e+24
1.4962356560944328e-07,6683438.175686149,423866924665.9463,-847628201222.3615,1695150728002.5803,-3.5928155891225025e+23,6.090933346385567e+35,847733849331.8926,1.0,2.531582344415519e-31,-1.552872779745147e-42,8.920942499061002e+16,210465.64334084932,2.5753296548784317e-19,0.0,-7715.8546224159145,42382.55872281865,3857.9273112079572,9.095508512163369e-08,2.1461080457320258e-20,0.0,0.0,0.0,-8.438607814718397e-32,-4.2193039073591984e-32,847733779176.6781,-7.185631178245005e+23
1.830206106311057e-07,5463864.49881854,283304641012.66296,-566522917066.5627,1132959442846.1453,-1.6049857164498918e+23,1.8185916554321875e+35,566609282025.3259,1.0,7.21654363081045e-31,-6.622910720078359e-42,5.962589353206591e+16,210465.64334079952,4.90675272642954e-19,0.0,-6568.223970736835,36080.57265959089,3284.1119853684177,1.1582449449588214e-07,4.088960605357951e-20,0.0,0.0,0.0,-2.4055145436034834e-31,-1.2027572718017417e-31,566609211870.1115,-3.2099714328997835e+23
2.2387211385683377e-07,4466834.921509635,189357817050.0465,-378645033560.4361,757219440258.3713,-7.169939699184578e+22,5.429977075277835e+34,378715634100.093,1.0,2.0570858346840724e-30,-2.8245061405439735e-41,3.9853314786951656e+16,210465.64334073616,9.348606795368395e-19,0.0,-5591.47127758649,30704.477936094576,2795.735638793245,1.4749181390731574e-07,7.790505662806953e-20,0.0,0.0,0.0,-6.856952782280241e-31,-3.4284763911401206e-31,378715563944.8786,-1.4339879398369156e+23
2.7384196342643614e-07,3651740.272548377,126566676957.66245,-253075641150.37704,506093543219.5331,-3.2030942919333075e+22,1.6213426496717124e+34,253133353915.3249,1.0,5.8635205442301256e-30,-1.204515578780499e-40,2.6637937091312016e+16,210465.6433406555,1.7811031453348623e-18,0.0,-4760.160843382382,26131.29808573344,2380.080421691191,1.8781409185857197e-07,1.4842526211123803e-19,0.0,0.0,0.0,-1.9545068480767087e-30,-9.772534240383543e-31,253133283760.11044,-6.406188583866615e+22
3.3496543915782793e-07,2985381.6189179574,84598677812.94168,-169150178912.33554,338253154802.8838,-1.4309881487806117e+22,4.841375291913781e+33,169197355625.88336,1.0,1.6712581450805656e-29,-5.136334620757798e-40,1.7805115151600206e+16,210465.64334055278,3.3932695045902126e-18,0.0,-4052.6434145409585,22236.63987122674,2026.3217072704792,2.3915505991633576e-07,2.8277245871585025e-19,0.0,0.0,0.0,-5.5708604836018855e-30,-2.7854302418009428e-30,169197285470.6689,-2.8619762975612233e+22
4.0973210981354135e-07,2440618.068041981,56548049093.30655,-113057534936.18486,226076480323.5227,-6.393183035939602e+21,1.445718173696591e+33,113096098186.6131,1.0,4.7632459261262535e-29,-2.1900736818512406e-39,1.1901421532016848e+16,210465.64334042193,6.464454347377922e-18,0.0,-3450.4925204906976,18921.67476441234,1725.2462602453488,3.0452303050918783e-07,5.38704528948159e-19,0.0,0.0,0.0,-1.5877486420420844e-29,-7.938743210210422e-30,113096028031.39865,-1.2786366071879204e+22
5.011872336272725e-07,1995261.3149688789,37799297055.886795,-75567072563.89075,151102597293.48425,-2.8563822234862596e+21,4.317418479627771e+32,75598594111.77359,1.0,1.357472850010992e-28,-9.337288481344687e-39,7955453372632647.0,210465.64334025537,1.2314764680688023e-17,0.0,-2938.024716638296,16098.462947223958,1469.012358319148,3.877461317636627e-07,1.026230390057335e-18,0.0,0.0,0.0,-4.52490950003664e-29,-2.26245475001832e-29,75598523956.55914,-5.712764446972519e+21
6.130557921498202e-07,1631171.9092278397,25267632194.898293,-50509499593.536865,100993208119.07149,-1.2762554580778544e+21,1.2894246515307299e+32,50535264389.796585,1.0,3.8683077006857198e-28,-3.980428377382178e-38,5317968465541418.0,210465.64334004335,2.3458314287428713e-17,0.0,-2501.8912423265065,13697.41998530181,1250.9456211632532,4.936948816524744e-07,1.9548595239523875e-18,0.0,0.0,0.0,-1.2894359002285732e-28,-6.447179501142866e-29,50535194234.58214,-2.552510916155709e+21
7.498942093324558e-07,1333520.432163324,16891311421.167175,-33761564320.17582,67502043864.37868,-5.70277096997856e+20,3.851288714170855e+31,33782622842.33435,1.0,1.1022093070668023e-27,-1.6965788664475792e-37,3555040725076538.0,210465.64333977326,4.4682625576738194e-17,0.0,-2130.7304621106887,11655.256075995207,1065.3652310553443,6.285647239180745e-07,3.723552131394844e-18,0.0,0.0,0.0,-3.6740310235560077e-28,-1.8370155117780039e-28,33782552687.119904,-1.140554193995712e+21
9.172759353897804e-07,1090183.4923851267,11292346302.930256,-22567481567.56839,45117725864.932274,-2.548398170459776e+20,1.1504373759134465e+31,22584692605.86051,1.0,3.1401467446650403e-27,-7.23001342423454e-37,2376650929430714.0,210465.64333942946,8.510309875866427e-17,0.0,-1814.8720411617696,9914.743094232079,907.4360205808848,8.00234421907961e-07,7.091924896555341e-18,0.0,0.0,0.0,-1.0467155815550135e-27,-5.2335779077750675e-28,22584622450.646065,-5.096796340919552e+20
1.122018454301963e-06,891249.9381337458,7549738057.610523,-15085410479.188738,30156729117.182083,-1.138908976094078e+20,3.436980614034687e+30,15099476115.221046,1.0,8.94470321711778e-27,-3.080402020181714e-36,1588960477312774.5,210465.64333899182,1.6207239910153304e-16,0.0,-1546.0851524742575,8433.686212127128,773.0425762371287,1.0187202782473016e-06,1.3506033258461074e-17,0.0,0.0,0.0,-2.9815677390392597e-27,-1.4907838695196298e-27,15099405960.0066,-2.277817952188156e+20
