a,z,k_over_H0,constraint_discriminant,constraint_block_determinant,constraint_relative_error,kinetic_positive,kinetic_negative,kinetic_null,normalized_null_residual,m5_bar_hat
1e-07,9999999.0,0.01,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.0147575675507368e-16,-9.865058355941714e-33
1e-07,9999999.0,0.01778279410038923,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.7651354712515835e-16,-9.865058355941714e-33
1e-07,9999999.0,0.03162277660168379,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.3046422118051236e-16,-9.865058355941714e-33
1e-07,9999999.0,0.05623413251903491,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,8.125100057922755e-17,-9.865058355941714e-33
1e-07,9999999.0,0.1,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,5.4161521931430516e-17,-9.865058355941714e-33
1e-07,9999999.0,0.1778279410038923,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.0444500569117004e-16,-9.865058355941714e-33
1e-07,9999999.0,0.31622776601683794,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,8.28467366648671e-17,-9.865058355941714e-33
1e-07,9999999.0,0.5623413251903491,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.4362765663603126e-16,-9.865058355941714e-33
1e-07,9999999.0,1.0,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,5.3412811481858405e-17,-9.865058355941714e-33
1e-07,9999999.0,1.7782794100389228,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,9.111551230107742e-17,-9.865058355941714e-33
1e-07,9999999.0,3.1622776601683795,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,5.664156858612336e-17,-9.865058355941714e-33
1e-07,9999999.0,5.623413251903491,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,6.228745631679051e-17,-9.865058355941714e-33
1e-07,9999999.0,10.0,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,4.740357192882328e-17,-9.865058355941714e-33
1e-07,9999999.0,17.78279410038923,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,9.899484245166647e-17,-9.865058355941714e-33
1e-07,9999999.0,31.622776601683793,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,2.490900591173678e-17,-9.865058355941714e-33
1e-07,9999999.0,56.23413251903491,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,5.1226269357546516e-17,-9.865058355941714e-33
1e-07,9999999.0,100.0,3.689212190416041e+52,-3.689212190416037e+24,1.0186717895389452e-15,4,0,1,1.2218467089730949e-17,-9.865058355941714e-33
1.9573417814876615e-07,5108968.774506925,0.01,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,6.258228703148955e-17,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.01778279410038923,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.3035715240943276e-16,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.03162277660168379,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.633966334681333e-17,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.05623413251903491,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.3602793426619684e-16,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.1,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.1084767256098314e-16,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.1778279410038923,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,3.459539526180114e-17,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.31622776601683794,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.8566735417508342e-16,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,0.5623413251903491,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,1.7154102824288065e-17,-3.240279512496094e-31
1.9573417814876615e-07,5108968.774506925,1.0,1.7129383202312e+50,-2.5142496119171402e+23,1.3345704356861536e-16,4,0,1,2.8944227396463994e-16,-3.240279512496094e-31
