a,z,kinetic_zeta_relative_residual,mixing_antisymmetry_relative_residual,mu_zeta_at_k_over_H0_1,mu_zeta_root_k_over_H0
1e-07,9999999.0,3.69452869933348e-16,4.2372971275969967e-17,3.320008576542032e+25,
1.399050314137293e-07,7147704.7679418605,2.1673341028212203e-15,8.293557155389039e-17,8.66662675639205e+24,
1.9573417814876615e-07,5108968.774506925,4.873529230952869e-15,4.0581387474302044e-17,2.2624480712406785e+24,
2.7384196342643614e-07,3651740.272548377,3.704102920936434e-15,1.985659197724222e-17,5.906521876698979e+23,
3.831186849557285e-07,2610156.2156825387,1.120567710661114e-15,2.4289077996105763e-18,1.542124776792765e+23,
5.360023165391795e-07,1865662.5785769112,5.223698646344038e-15,3.802867683294309e-17,4.0267572933914905e+22,
7.498942093324558e-07,1333520.432163324,1.0593037288122478e-15,3.721079050422926e-17,1.0516199845141387e+22,
1.0491397291363112e-06,953160.8832347863,7.260284016669227e-16,1.4221817970527898e-19,2.7469860268844956e+21,
1.4677992676220705e-06,681291.0690579609,4.8870610329010265e-15,3.5618631017000545e-17,7.177706803956382e+20,
2.053525026457146e-06,486966.5251658631,4.108682018457631e-15,1.7420788135723012e-17,1.87628476584598e+20,
2.8729848333536687e-06,348069.0588428406,6.068664557137286e-16,1.703736073329421e-17,4.907588214316343e+19,
4.0194503336151276e-06,248789.23672388348,1.6591739460052807e-15,1.6657760984916243e-17,1.2846788062912406e+19,
5.623413251903491e-06,177826.94100389228,1.4509944910888025e-15,4.884097865906352e-17,3.366802276948306e+18,
7.86743807659941e-06,127105.17996147432,1.4133773537865509e-15,6.361147517253672e-17,8.837505519863091e+17,
1.1006941712522103e-05,90850.75756516862,1.7175886154057642e-15,6.209000788323837e-17,2.3248487157706906e+17,
1.539926526059492e-05,64937.16315762114,1.2792742133418978e-15,3.027084237627493e-17,6.134393607216134e+16,
2.1544346900318867e-05,46414.888336127726,6.207189759580323e-16,2.9473284578106225e-17,1.6253380056987064e+16,
3.014162529877392e-05,33175.71127842855,4.779849818539892e-16,2.86394295924616e-17,4330632358915880.5,
4.216965034285822e-05,23712.737056616555,1.529646904523063e-15,2.7752924939316198e-17,1162588258434935.5,
5.899746255923572e-05,16948.88151390344,3.723248403508641e-15,2.6793730981876058e-17,315221836790854.75,
8.25404185268019e-05,12114.276586285876,1.2423980950215308e-15,2.5738586306510226e-17,86575355802741.1,
0.00011547819846894582,8658.643233600653,4.272371455955758e-15,1.228139980505664e-17,24166927771796.438,
0.00016155980984398745,6188.658188912604,8.999479625851133e-16,5.81101061830596e-17,6881083998618.266,
0.00022603030271419218,4423.185553847914,1.3162646961956084e-15,1.0884182861934096e-17,2005381893859.7954,
0.00031622776601683794,3161.277660168379,7.266448235701454e-16,2.013741739263779e-17,599879457060.8315,
0.0004424185553847919,2259.3030271419193,4.961053846202823e-16,3.6748286032794816e-17,184497344682.29395,854265.3410610539
0.000618965818891261,1614.598098439873,2.4694492090082504e-15,3.304695821951376e-17,58354325878.47975,432951.5730620205
0.0008659643233600663,1153.781984689457,1.7319553986177288e-15,2.929238493470563e-17,18956419058.741146,224325.33335513485
0.00121152765862859,824.4041852680174,4.77569029232122e-16,7.684568376522279e-17,6308775537.564052,118479.6393363669
0.0016949881513903479,588.9746255923559,7.076975291518795e-16,1.1065820522905427e-17,2143928939.0025053,63582.31061805025
0.0023713737056616554,420.6965034285822,1.1872409348567543e-15,3.785428301569183e-17,741326949.3299906,34561.379854139064
0.0033176711278428616,300.4162529877386,1.2686905650199588e-15,1.2841029576341038e-16,259936321.583825,18975.182729181437
0.004641588833612782,214.4434690031882,3.26073426194293e-16,5.4084558002193765e-17,92147877.86745746,10497.658051519593
0.006493816315762113,152.9926526059492,2.7312593403808856e-15,1.3595090410045053e-16,32945774.663673237,5840.943276313835
0.00908517575651688,109.06941712522081,1.6187730760375494e-15,2.363092202251831e-18,11857264.986932617,3263.7284782704496
0.012710617996147458,77.67438076599393,1.5188836678099603e-15,1.9647324321240164e-18,4289812.9684799565,1829.3546008061492
0.01778279410038923,55.2341325190349,1.2654295898978068e-15,5.2114658734078547e-17,1558693.4569706982,1027.7189063120538
0.0248790236723884,39.19450333615119,3.0653137699481153e-15,1.2922633337264839e-16,568499.9643174371,578.3448400176728
0.034807005884284134,27.729848333536623,3.153135181411178e-15,7.10001046422213e-17,208109.06570410135,325.88846066199665
0.04869675251658631,19.53525026457146,2.3573609964377336e-15,7.290536405264561e-18,76479.18919845199,183.84303177804182
0.06812920690579623,13.677992676220674,8.449355557090439e-16,9.322716338492137e-20,28231.989498067105,103.84234773198682
0.09531618832347882,9.491397291363091,3.503147159792302e-15,3.8897110787325705e-17,10477.9332849723,58.76601943807048
0.1333521432163324,6.498942093324558,8.347786793604238e-16,1.5779139526409773e-17,3913.7427022330758,33.375355703546596
0.1865663578576915,4.360023165391785,2.75790874980437e-15,1.0211304132922638e-16,1472.053130276073,19.09592353958035
0.26101572156825387,2.8311868495572847,7.445961707451543e-16,1.552960170921339e-17,556.5718940325023,11.09935703496482
0.3651741272548377,1.738419634264361,5.92337000981805e-15,6.840890388489127e-17,209.87175542344647,6.66673608932764
0.5108969774506935,0.9573417814876575,1.783085033858528e-15,5.949706270322756e-17,77.45860483857176,4.269059121986657
0.7147705767941861,0.39905031413729275,2.7032053836369683e-15,7.182245421794185e-18,27.37095391176658,3.048350774215728
1.0,0.0,1.0451476802793156e-15,3.215443109532117e-17,9.344623171042157,2.5154567222094424
