a,z,k_over_H0,xi_completion,mu_zeta,mu_zeta_relative,constraint_determinant,Q_tensor,matter_kinetic_positive,matter_kinetic_negative,matter_kinetic_null,root_at_this_a,root_k_over_H0
1e-07,9999999.0,0.0001,1.0,3.320008576482031e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0001333521432163324,1.0,3.3200085764820313e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.00017782794100389227,1.0,3.3200085764820317e+25,1.5000638074277397,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.00023713737056616554,1.0,3.3200085764820326e+25,1.5000638074277397,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.00031622776601683794,1.0,3.320008576482031e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.00042169650342858224,1.0,3.3200085764820317e+25,1.5000638074277397,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0005623413251903491,1.0,3.3200085764820304e+25,1.5000638074277401,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0007498942093324559,1.0,3.3200085764820313e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.001,1.0,3.3200085764820313e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.001333521432163324,1.0,3.3200085764820326e+25,1.50006380742774,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0017782794100389228,1.0,3.3200085764820313e+25,1.5000638074277401,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0023713737056616554,1.0,3.320008576482032e+25,1.5000638074277404,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.0031622776601683794,1.0,3.320008576482032e+25,1.5000638074277406,-7.378424380832088e+24,2.0,3,0,1,0,
