xi_completion,a,z,root_k_over_H0,min_mu_zeta_relative_on_k_grid,min_Q_tensor_on_k_grid,min_constraint_determinant_on_k_grid
1.0,1e-08,99999999.0,,1.0013772371808587,2.0,7.376165221692853e+28
1.0,1.1006941712522103e-08,90851756.56516862,,1.000955214348958,2.0,5.025340085950723e+28
1.0,1.2115276586285877e-08,82540417.5268019,,1.0006606207454845,2.0,3.4237372583182617e+28
1.0,1.333521432163324e-08,74989419.93324558,,1.0004557849002147,2.0,2.332574724345041e+28
1.0,1.4677992676220705e-08,68129205.90579608,,1.0003138319345097,2.0,1.5891719219428039e+28
1.0,1.6155980984398728e-08,61896580.8891261,,1.0002157325865306,2.0,1.0826956723421243e+28
1.0,1.7782794100389228e-08,56234131.51903491,,1.0001480981764341,2.0,7.376360583586394e+27
1.0,1.9573417814876615e-08,51089696.74506924,,1.0001015589862776,2.0,5.025486586703411e+27
1.0,2.1544346900318822e-08,46415887.33612782,,1.0000695873166638,2.0,3.4238471183843466e+27
1.0,2.371373705661655e-08,42169649.342858225,,1.0000476525622484,2.0,2.3326571077724335e+27
1.0,2.6101572156825384e-08,38311867.49557285,,1.000032620106306,2.0,1.5892337007979722e+27
1.0,2.8729848333536628e-08,34807004.88428413,,1.0000223268680541,2.0,1.0827419999478707e+27
1.0,3.162277660168379e-08,31622775.601683795,,1.0000152834414204,2.0,7.376707991619212e+26
1.0,3.480700588428413e-08,28729847.333536625,,1.0000104661400449,2.0,5.025747105975525e+26
1.0,3.831186849557285e-08,26101571.156825386,,1.0000071724264985,2.0,3.42404248027789e+26
1.0,4.2169650342858225e-08,23713736.056616552,,1.0000049207586663,2.0,2.3328036085251504e+26
1.0,4.641588833612782e-08,21544345.900318824,,1.0000033814079277,2.0,1.589343560864088e+26
1.0,5.108969774506924e-08,19573416.814876616,,1.000002328785826,2.0,1.0828243833752906e+26
1.0,5.6234132519034905e-08,17782793.100389227,,1.00000160865733,2.0,7.377325780170896e+25
1.0,6.18965818891261e-08,16155979.98439873,,1.000001115629031,2.0,5.0262103820330045e+25
1.0,6.812920690579608e-08,14677991.676220706,,1.0000007777131157,2.0,3.4243898883107296e+25
1.0,7.498942093324559e-08,13335213.32163324,,1.0000005457548842,2.0,2.3330641277972385e+25
1.0,8.25404185268019e-08,12115275.586285876,,1.0000003861980662,2.0,1.5895389227576577e+25
1.0,9.085175756516862e-08,11006940.712522103,,1.0000002761379134,2.0,1.082970884127999e+25
1.0,1e-07,9999999.0,,1.000000199940716,2.0,7.378424380832088e+24
1.0,1.100694171252208e-07,9085174.75651688,,1.0000001469349145,2.0,5.027034216307242e+24
1.0,1.2115276586285877e-07,8254040.85268019,,1.0000001098347653,2.0,3.4250076768623885e+24
1.0,1.333521432163324e-07,7498941.093324558,,1.0000000836645009,2.0,2.333527403854735e+24
1.0,1.4677992676220674e-07,6812919.690579623,,1.0000000650242644,2.0,1.5898863307905008e+24
1.0,1.615598098439873e-07,6189657.18891261,,1.0000000515893488,2.0,1.083231403400092e+24
1.0,1.7782794100389227e-07,5623412.251903491,,1.0000000417686385,2.0,7.380377999767748e+23
1.0,1.9573417814876575e-07,5108968.774506935,,1.0000000344716653,2.0,5.0284992238343255e+23
1.0,2.1544346900318822e-07,4641587.833612782,,1.000000028949743,2.0,3.426106277523585e+23
1.0,2.3713737056616554e-07,4216964.034285822,,1.000000024687627,2.0,2.3343512381289242e+23
1.0,2.610157215682533e-07,3831185.849557293,,1.000000021329621,2.0,1.5905041193421636e+23
1.0,2.8729848333536627e-07,3480699.588428413,,1.0000000186291742,2.0,1.0836946794575806e+23
1.0,3.162277660168379e-07,3162276.6601683795,,1.0000000164144924,2.0,7.383852080096021e+22
1.0,3.480700588428406e-07,2872983.833353669,,1.000000014565069,2.0,5.03110441655529e+22
1.0,3.831186849557285e-07,2610156.2156825387,,1.0000000129956594,2.0,3.4280598964592393e+22
1.0,4.2169650342858225e-07,2371372.7056616554,,1.0000000116453325,2.0,2.335816245656001e+22
1.0,4.6415888336127725e-07,2154433.6900318866,,1.0000000104699842,2.0,1.591602720003353e+22
1.0,5.108969774506925e-07,1957340.7814876614,,1.0000000094372132,2.0,1.0845185137317702e+22
1.0,5.62341325190349e-07,1778278.410038923,,1.000000008522806,2.0,7.39002996561271e+21
1.0,6.189658188912597e-07,1615597.0984398762,,1.000000007708324,2.0,5.035737177130151e+21
1.0,6.812920690579608e-07,1467798.2676220704,,1.0000000069794397,2.0,3.431533976787556e+21
1.0,7.498942093324558e-07,1333520.432163324,,1.00000000632479,2.0,2.3384214383769637e+21
1.0,8.254041852680173e-07,1211526.6586285902,,1.0000000057351763,2.0,1.593556338939e+21
1.0,9.085175756516862e-07,1100693.1712522104,,1.000000005203009,2.0,1.085983521258859e+21
1.0,1e-06,999999.0,,1.000000004721915,2.0,7.401015972224569e+20
1.0,1.1006941712522081e-06,908516.575651688,,1.000000004286461,2.0,5.043975519872095e+20
1.0,1.2115276586285875e-06,825403.1852680191,,1.0000000038919525,2.0,3.437711862304225e+20
1.0,1.333521432163324e-06,749893.2093324558,,1.0000000035342906,2.0,2.3430541989518472e+20
1.0,1.4677992676220675e-06,681291.0690579623,,1.0000000032098635,2.0,1.5970304192673143e+20
1.0,1.6155980984398728e-06,618964.818891261,,1.0000000029154668,2.0,1.0885887139798196e+20
1.0,1.778279410038923e-06,562340.325190349,,1.0000000026482412,1.9999999999999998,7.420552161581048e+19
1.0,1.9573417814876578e-06,510895.97745069343,,1.000000002405625,1.9999999999999998,5.058625595142905e+19
1.0,2.1544346900318822e-06,464157.8833612782,,1.000000002185315,1.9999999999999996,3.4486978689161015e+19
1.0,2.3713737056616552e-06,421695.5034285823,,1.0000000019852353,1.9999999999999996,2.3512925416937677e+19
1.0,2.610157215682533e-06,383117.6849557293,,1.0000000018035107,1.9999999999999996,1.603208304783991e+19
1.0,2.8729848333536627e-06,348069.0588428413,,1.000000001638446,1.9999999999999991,1.0932214745546926e+19
1.0,3.162277660168379e-06,316226.76601683797,,1.0000000014885058,1.999999999999999,7.455292964864221e+18
1.0,3.480700588428406e-06,287297.4833353669,,1.0000000013522987,1.9999999999999984,5.084677522352559e+18
1.0,3.831186849557285e-06,261014.72156825388,,1.0000000012285635,1.999999999999998,3.468234058272558e+18
1.0,4.216965034285822e-06,237136.37056616554,,1.0000000011161552,1.9999999999999973,2.3659426169646013e+18
1.0,4.641588833612773e-06,215442.46900318866,,1.0000000010140355,1.9999999999999962,1.6141943113958756e+18
1.0,5.108969774506924e-06,195733.17814876616,,1.0000000009212615,1.999999999999995,1.1014598172966345e+18
1.0,5.623413251903491e-06,177826.94100389228,,1.0000000008369772,1.999999999999993,7.51707182003105e+17
1.0,6.189658188912597e-06,161558.8098439876,,1.0000000007604049,1.9999999999999907,5.131005128101287e+17
1.0,6.8129206905796085e-06,146778.92676220706,,1.000000000690839,1.9999999999999871,3.502974861555799e+17
1.0,7.498942093324558e-06,133351.14321633242,,1.0000000006276375,1.9999999999999827,2.3919945441742915e+17
1.0,8.254041852680173e-06,121151.765862859,,1.0000000005702188,1.9999999999999765,1.6337305007523712e+17
1.0,9.085175756516862e-06,110068.41712522102,,1.000000000518053,1.999999999999968,1.1161098925675003e+17
1.0,1e-05,99998.99999999999,,1.0000000004706597,1.9999999999999565,7.626931886150211e+16
1.0,1.100694171252208e-05,90850.75756516881,,1.0000000004276022,1.999999999999941,5.213388555521044e+16
1.0,1.2115276586285876e-05,82539.4185268019,,1.000000000388484,1.99999999999992,3.564753716722922e+16
1.0,1.333521432163324e-05,74988.42093324558,,1.0000000003529443,1.9999999999998916,2.4383221499233496e+16
1.0,1.4677992676220675e-05,68128.20690579622,,1.000000000320656,1.9999999999998535,1.668471304035898e+16
1.0,1.6155980984398728e-05,61895.5818891261,,1.0000000002913216,1.9999999999998015,1.1421618197774286e+16
1.0,1.778279410038923e-05,56233.1325190349,,1.0000000002646707,1.9999999999997313,7822293779717470.0
1.0,1.9573417814876576e-05,51088.697745069345,,1.0000000002404579,1.9999999999996363,5359889308231884.0
1.0,2.1544346900318823e-05,46414.88833612782,,1.0000000002184604,1.9999999999995084,3674613782844069.0
1.0,2.3713737056616554e-05,42168.65034285822,,1.000000000198475,1.9999999999993352,2520705577344895.0
1.0,2.6101572156825332e-05,38310.868495572926,,1.000000000180318,1.9999999999991016,1730250159204681.0
1.0,2.8729848333536626e-05,34806.00588428413,,1.000000000163822,1.9999999999987867,1188489425528058.0
1.0,3.1622776601683795e-05,31621.776601683792,,1.0000000001488352,1.9999999999983626,816970181256726.4
1.0,3.480700588428406e-05,28728.848333536684,,1.0000000001352194,1.9999999999977915,562040858034468.1
1.0,3.831186849557285e-05,26100.572156825387,,1.000000000122849,1.9999999999970233,386997567642390.5
1.0,4.216965034285822e-05,23712.737056616555,,1.0000000001116107,1.9999999999959908,266720633006738.97
1.0,4.641588833612772e-05,21543.34690031887,,1.0000000001014002,1.9999999999946043,184011022533665.16
1.0,5.108969774506924e-05,19572.41781487662,,1.0000000000921239,1.9999999999927451,127087285295968.58
1.0,5.623413251903491e-05,17781.79410038923,,1.0000000000836962,1.9999999999902542,87874903643485.95
1.0,6.189658188912597e-05,16154.980984398762,,1.0000000000760396,1.9999999999869211,60836846379378.74
1.0,6.812920690579608e-05,14676.992676220705,,1.0000000000690832,1.9999999999824662,42173837093544.77
1.0,7.498942093324559e-05,13334.21432163324,,1.0000000000627631,1.9999999999765208,29277256022553.527
1.0,8.254041852680174e-05,12114.2765862859,,1.0000000000570215,1.9999999999685967,20354721189864.55
1.0,9.085175756516861e-05,11005.941712522104,,1.000000000051805,1.999999999958051,14173736057472.832
1.0,0.0001,9999.0,,1.000000000047066,1.9999999999440385,9886091026274.865
1.0,0.0001100694171252208,9084.175756516881,,1.00000000004276,1.9999999999254494,6907518912819.087
1.0,0.00012115276586285876,8253.04185268019,,1.0000000000388483,1.9999999999008304,4835172261662.411
1.0,0.0001333521432163324,7497.942093324558,,1.0000000000352944,1.9999999998682818,3391001660339.5527
1.0,0.00014677992676220676,6811.920690579622,,1.0000000000320657,1.9999999998253264,2382880152375.035
1.0,0.00016155980984398728,6188.65818891261,,1.000000000029132,1.9999999997687419,1677892878362.6807
1.0,0.00017782794100389227,5622.413251903491,,1.000000000026467,1.9999999996943418,1183970996676.3494
1.0,0.00019573417814876577,5107.969774506934,,1.0000000000240459,1.9999999995967044,837252644442.2786
1.0,0.00021544346900318823,4640.588833612782,,1.000000000021846,1.9999999994688173,593377292707.2328
1.0,0.00023713737056616554,4215.965034285822,,1.0000000000198475,1.9999999993016324,421483593847.7873
1.0,0.0002610157215682533,3830.186849557293,,1.0000000000180318,1.9999999990834962,300066870772.9761
1.0,0.00028729848333536626,3479.700588428413,,1.0000000000163822,1.9999999987994288,214116893929.82742
1.0,0.00031622776601683794,3161.277660168379,,1.0000000000148834,1.9999999984302066,153137903273.4742
1.0,0.0003480700588428406,2871.9848333536684,,1.0000000000135219,1.9999999979512029,109777191955.86295
1.0,0.00038311868495572853,2609.157215682538,,1.0000000000122848,1.999999997330918,78873918909.99443
1.0,0.00042169650342858224,2370.3737056616555,,1.000000000011161,1.9999999965291204,56798434920.57649
1.0,0.00046415888336127724,2153.434690031887,,1.00000000001014,1.999999995494495,40992693937.535164
1.0,0.0005108969774506924,1956.3417814876618,,1.0000000000092124,1.9999999941616715,29650032367.8084
1.0,0.0005623413251903491,1777.2794100389228,,1.0000000000083695,1.9999999924474707,21491676062.49672
1.0,0.0006189658188912597,1614.5980984398764,,1.000000000007604,1.9999999902461596,15610479975.49538
1.0,0.0006812920690579609,1466.7992676220704,,1.0000000000069083,1.9999999874234664,11361472411.819532
1.0,0.0007498942093324559,1332.5214321633239,,1.0000000000062763,1.9999999838090208,8285036393.817684
1.0,0.0008254041852680173,1210.5276586285902,,1.000000000005702,1.9999999791868166,6052888499.265139
1.0,0.0009085175756516862,1099.6941712522103,,1.0000000000051805,1.9999999732831772,4430010923.514512
1.0,0.001,999.0,,1.0000000000047065,1.9999999657515752,3247768417.5360646
1.0,0.001100694171252208,907.517575651688,,1.0000000000042761,1.9999999561534865,2384882412.9041095
1.0,0.0012115276586285877,824.404185268019,,1.000000000003885,1.999999943934247,1753935925.6432958
1.0,0.001333521432163324,748.8942093324558,,1.0000000000035294,1.9999999283926115,1291779821.8258488
1.0,0.0014677992676220676,680.2920690579622,,1.0000000000032065,1.999999908642378,952697000.3707386
1.0,0.001615598098439873,617.9658188912609,,1.0000000000029132,1.9999998835640147,703520475.1733593
1.0,0.0017782794100389228,561.3413251903492,,1.0000000000026468,1.9999998517436932,520138839.583526
1.0,0.0019573417814876576,509.8969774506935,,1.0000000000024045,1.9999998113964557,384989092.20108575
