xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
1.0,1.0,9.999999999999982e-09,99999999.00000018,9.999999999996385e-09,0.0,3.0000000000000004e-08,0.0,3.0000000000000004e-08,0.0,4e-08,0.0,4e-08,0.0
1.0,1.0,1.2589254117941638e-08,79432822.47242837,9.999999999994402e-09,0.0,3.0000000000000394e-08,3.958873900939985e-21,3.0000000000000394e-08,3.958873900939984e-21,4.0000000000000524e-08,5.2784985345842695e-21,4.0000000000000524e-08,5.2784985345842695e-21
1.0,1.0,1.5848931924611133e-08,63095733.44801933,9.999999999991644e-09,1.2457588821350705e-24,3.000000000000218e-08,1.2546383382318427e-20,3.000000000000218e-08,1.2546383382318427e-20,4.00000000000029e-08,1.6728511176415416e-20,4.00000000000029e-08,1.6728511176415416e-20
1.0,1.0,1.9952623149688776e-08,50118722.36272728,9.999999999987884e-09,0.0,3.000000000000683e-08,2.982770985139785e-20,3.000000000000683e-08,2.982770985139785e-20,4.00000000000091e-08,3.9770279801838375e-20,4.00000000000091e-08,3.977027980183838e-20
1.0,1.0,2.511886431509575e-08,39810716.055349804,9.999999999982894e-09,0.0,3.000000000001712e-08,6.302716757850625e-20,3.000000000001712e-08,6.302716757850625e-20,4.000000000002282e-08,8.403622343794946e-20,4.000000000002282e-08,8.403622343794946e-20
1.0,1.0,3.16227766016837e-08,31622775.60168389,9.999999999976523e-09,0.0,3.0000000000038034e-08,1.2485789130907024e-19,3.0000000000038034e-08,1.2485789130907024e-19,4.0000000000050704e-08,1.6647718841198056e-19,4.0000000000050704e-08,1.6647718841198056e-19
1.0,1.0,3.981071705534971e-08,25118863.315095812,9.999999999968862e-09,0.0,3.000000000007849e-08,2.3745662955996287e-19,3.000000000007849e-08,2.3745662955996287e-19,4.000000000010462e-08,3.1660883941313133e-19,4.000000000010462e-08,3.1660883941313133e-19
1.0,1.0,5.0118723362727164e-08,19952622.14968882,9.999999999960577e-09,0.0,3.000000000015415e-08,4.390577748346139e-19,3.000000000015415e-08,4.39057774834614e-19,4.000000000020552e-08,5.854103664461876e-19,4.000000000020552e-08,5.854103664461878e-19
1.0,1.0,6.309573444801918e-08,15848930.924611172,9.999999999953566e-09,1.222198255248487e-24,3.000000000029243e-08,7.952447606918474e-19,3.000000000029243e-08,7.952447606918476e-19,4.000000000038989e-08,1.0603263475904473e-18,4.000000000038989e-08,1.0603263475904478e-18
1.0,1.0,7.943282347242789e-08,12589253.117941713,9.999999999952138e-09,0.0,3.0000000000540636e-08,1.4178793788938321e-18,3.0000000000540636e-08,1.4178793788938327e-18,4.000000000072083e-08,1.8905058385318537e-18,4.000000000072083e-08,1.8905058385318552e-18
1.0,1.0,9.999999999999994e-08,9999999.000000006,9.999999999965245e-09,0.0,3.0000000000980074e-08,2.4967707685076214e-18,3.0000000000980074e-08,2.496770768507622e-18,4.000000000130676e-08,3.329027691369763e-18,4.000000000130676e-08,3.3290276913697657e-18
1.0,1.0,1.258925411794165e-07,7943281.347242828,1.0000000000010361e-08,1.2104645734719396e-24,3.000000000174953e-08,4.352595772444178e-18,3.000000000174953e-08,4.352595772444182e-18,4.0000000002332696e-08,5.803461030016378e-18,4.0000000002332696e-08,5.8034610300163845e-18
1.0,1.0,1.5848931924611096e-07,6309572.444801948,1.0000000000120448e-08,0.0,3.0000000003084666e-08,7.525018091832327e-18,3.0000000003084666e-08,7.525018091832335e-18,4.000000000411289e-08,1.0033357456069671e-17,4.000000000411289e-08,1.0033357456069685e-17
1.0,1.0,1.995262314968876e-07,5011871.336272731,1.0000000000356075e-08,0.0,3.0000000005383944e-08,1.2919110946508487e-17,3.0000000005383944e-08,1.2919110946508502e-17,4.0000000007178585e-08,1.7225481262917023e-17,4.0000000007178585e-08,1.722548126291706e-17
1.0,1.0,2.511886431509578e-07,3981070.705534976,1.0000000000826415e-08,0.0,3.00000000093183e-08,2.204810858086704e-17,3.00000000093183e-08,2.204810858086707e-17,4.000000001242439e-08,2.939747811053359e-17,4.000000001242439e-08,2.939747811053369e-17
1.0,1.0,3.1622776601683734e-07,3162276.660168385,1.0000000001725416e-08,0.0,3.000000001601361e-08,3.743488958817092e-17,3.000000001601361e-08,3.743488958817099e-17,4.0000000021351485e-08,4.991318612548704e-17,4.0000000021351485e-08,4.9913186125487285e-17
1.0,1.0,3.981071705534968e-07,2511885.431509583,1.0000000003393557e-08,0.0,3.0000000027353166e-08,6.327510669073685e-17,3.0000000027353166e-08,6.3275106690737e-17,4.0000000036470864e-08,8.436680894373825e-17,4.0000000036470864e-08,8.436680894373889e-17
1.0,1.0,5.011872336272713e-07,1995261.3149688833,1.0000000006422915e-08,0.0,3.0000000046478164e-08,1.0652983987494624e-16,3.0000000046478164e-08,1.0652983987494652e-16,4.0000000061970864e-08,1.4203978656432286e-16,4.0000000061970864e-08,1.4203978656432444e-16
1.0,1.0,6.309573444801925e-07,1584892.1924611153,1.0000000011834892e-08,0.0,3.000000007861442e-08,1.7872336140954725e-16,3.000000007861442e-08,1.7872336140954782e-16,4.00000001048192e-08,2.3829781539281156e-16,4.00000001048192e-08,2.382978153928155e-16
1.0,1.0,7.943282347242799e-07,1258924.4117941698,1.0000000021379757e-08,0.0,3.000000013243518e-08,2.9889633691809863e-16,3.000000013243518e-08,2.988963369180998e-16,4.0000000176580205e-08,3.9852844972281673e-16,4.0000000176580205e-08,3.985284497228269e-16
1.0,1.0,9.999999999999987e-07,999999.0000000013,1.0000000038039436e-08,0.0,3.000000022230333e-08,4.984473417803236e-16,3.000000022230333e-08,4.98447341780326e-16,4.000000029640442e-08,6.645964570766415e-16,4.000000029640442e-08,6.645964570766668e-16
1.0,1.0,1.2589254117941665e-06,794327.2347242819,1.0000000066868882e-08,0.0,3.000000037195538e-08,8.29060530982943e-16,3.000000037195538e-08,8.290605309829475e-16,4.0000000495940485e-08,1.1054140450451457e-15,4.0000000495940485e-08,1.1054140450452096e-15
1.0,1.0,1.5848931924611111e-06,630956.3444801942,1.0000000116399312e-08,0.0,3.000000062054233e-08,1.3756610080761751e-15,3.000000062054233e-08,1.3756610080761844e-15,4.000000082738976e-08,1.834214687555968e-15,4.000000082738976e-08,1.834214687556128e-15
1.0,1.0,1.995262314968875e-06,501186.23362727347,1.0000000200971827e-08,0.0,3.0000001032519184e-08,2.277551213459503e-15,3.0000001032519184e-08,2.2775512134595214e-15,4.000000137669224e-08,3.036734978560378e-15,4.000000137669224e-08,3.036734978560781e-15
1.0,1.0,2.5118864315095763e-06,398106.17055349785,1.0000000344608994e-08,0.0,3.0000001713810865e-08,3.762839486860087e-15,3.0000001713810865e-08,3.762839486860123e-15,4.000000228508115e-08,5.0171193889967495e-15,4.000000228508115e-08,5.017119388997761e-15
1.0,1.0,3.162277660168377e-06,316226.76601683814,1.0000000587417766e-08,0.0,3.00000028381804e-08,6.204387226532334e-15,3.00000028381804e-08,6.2043872265324044e-15,4.000000378424057e-08,8.272516497515764e-15,4.000000378424057e-08,8.2725164975183e-15
1.0,1.0,3.981071705534966e-06,251187.64315095844,1.0000000996157614e-08,0.0,3.00000046901745e-08,1.0210565018708022e-14,3.00000046901745e-08,1.0210565018708165e-14,4.000000625356612e-08,1.36140872116714e-14,4.000000625356612e-08,1.3614087211677756e-14
1.0,1.0,5.011872336272718e-06,199525.23149688815,1.0000001681633014e-08,0.0,3.0000007734908214e-08,1.6772079877470825e-14,3.0000007734908214e-08,1.6772079877471106e-14,4.0000010313211275e-08,2.236277454859681e-14,4.0000010313211275e-08,2.2362774548612743e-14
1.0,1.0,6.309573444801932e-06,158488.31924611135,1.0000002827241904e-08,0.0,3.000001273120557e-08,2.7498854728099084e-14,3.000001273120557e-08,2.7498854728099652e-14,4.000001697494162e-08,3.666514327969331e-14,4.000001697494162e-08,3.666514327973323e-14
1.0,1.0,7.943282347242806e-06,125891.54117941686,1.0000004735724675e-08,0.0,3.000002091462031e-08,4.5001072997736436e-14,3.000002091462031e-08,4.500107299773757e-14,4.0000027886162706e-08,6.000144025505418e-14,4.0000027886162706e-08,6.000144025515421e-14
1.0,1.0,9.99999999999998e-06,99999.00000000019,1.0000007905449113e-08,0.0,3.000003429251777e-08,7.349956441396562e-14,3.000003429251777e-08,7.349956441396788e-14,4.0000045723363025e-08,9.799944439724628e-14,4.0000045723363025e-08,9.799944439749663e-14
1.0,1.0,1.2589254117941658e-05,79431.82347242824,1.0000013154553476e-08,0.0,3.000005611843612e-08,1.1979963833289418e-13,3.000005611843612e-08,1.1979963833289865e-13,4.0000074824597246e-08,1.5973291700226287e-13,4.0000074824597246e-08,1.5973291700288906e-13
1.0,1.0,1.584893192461113e-05,63094.73444801934,1.0000021822184784e-08,0.0,3.000009165152902e-08,1.948363157803788e-13,3.000009165152902e-08,1.9483631578038765e-13,4.000012220207991e-08,2.597819262696205e-13,4.000012220207991e-08,2.597819262711851e-13
1.0,1.0,1.995262314968877e-05,50117.723362727294,1.0000036093342103e-08,0.0,3.0000149366820656e-08,3.161109233072892e-13,3.0000149366820656e-08,3.1611092330730673e-13,4.000019915586839e-08,4.214816780523946e-13,4.000019915586839e-08,4.214816780562989e-13
1.0,1.0,2.5118864315095744e-05,39809.717055349814,1.0000059520965555e-08,0.0,3.000024287421578e-08,5.115064362588747e-13,3.000024287421578e-08,5.115064362589095e-13,4.0000323832567293e-08,6.820097399653908e-13,4.0000323832567293e-08,6.820097399751183e-13
1.0,1.0,3.162277660168375e-05,31621.77660168384,1.0000097859968516e-08,0.0,3.000039394099421e-08,8.252080248865107e-13,3.000039394099421e-08,8.252080248865792e-13,4.0000525255383464e-08,1.1002803570418213e-12,4.000052525538347e-08,1.1002803570660103e-12
1.0,1.0,3.98107170553497e-05,25117.864315095816,1.0000160391691199e-08,0.0,3.000063721957074e-08,1.3268031521945368e-12,3.000063721957074e-08,1.3268031521946715e-12,4.0000849627964965e-08,1.7690785597571076e-12,4.000084962796497e-08,1.7690785598171174e-12
1.0,1.0,5.011872336272715e-05,19951.62314968883,1.000026201109868e-08,0.0,3.000102757948093e-08,2.1251088727756647e-12,3.000102757948093e-08,2.1251088727759292e-12,4.00013701107851e-08,2.833498185158883e-12,4.0001370110785134e-08,2.8334981853073447e-12
1.0,1.0,6.309573444801928e-05,15847.931924611146,1.0000426487494236e-08,0.0,3.000165136915154e-08,3.3889175005766493e-12,3.000165136915154e-08,3.3889175005771675e-12,4.000220183785146e-08,4.5186068253651805e-12,4.0002201837851545e-08,4.5186068257312556e-12
1.0,1.0,7.943282347242802e-05,12588.254117941693,1.0000691511082414e-08,0.0,3.0002643537797956e-08,5.377715886190835e-12,3.0002643537797956e-08,5.3777158861918465e-12,4.0003524748442355e-08,7.1704149376760945e-12,4.000352474844258e-08,7.1704149385752875e-12
1.0,1.0,9.999999999999991e-05,9999.00000000001,1.0001116414561661e-08,0.0,3.000421335912617e-08,8.486525502694136e-12,3.000421335912617e-08,8.486525502696099e-12,4.000561789168102e-08,1.1315687415275728e-11,4.000561789168158e-08,1.1315687417474625e-11
1.0,1.0,0.0001258925411794165,7942.282347242829,1.0001793852670942e-08,0.0,3.000668263551135e-08,1.3310513139050618e-11,3.000668263551135e-08,1.3310513139054411e-11,4.000891038096578e-08,1.7748151643983383e-11,4.0008910380967146e-08,1.7748151649333665e-11
1.0,1.0,0.0001584893192461112,6308.573444801938,1.0002867244861946e-08,0.0,3.001054176258738e-08,2.073699138089578e-11,3.001054176258738e-08,2.0736991380903074e-11,4.001405618465118e-08,2.7651310915984257e-11,4.0014056184654514e-08,2.7651310928930245e-11
