xi_completion,a,z,E,H_km_s_Mpc,Omega_m,Omega_r,Omega_R,Q_tensor,c_T,dL_GW_over_dL_EM,gamma_PPN,beta_PPN,alpha1_PPN,alpha2_PPN,Cassini_minus_2loglike
1.0,1e-08,99999999.0,96021906495945.16,6468035621566866.0,3.40309191286526e-05,0.9999659690808715,2.914858628465226e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.0633265716371605e-08,94044484.17263523,84925372251875.47,5720573074886332.0,3.618590258388836e-05,0.9999638140974162,3.54772608172416e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.1306633979496399e-08,88443650.9138599,75111186680587.4,5059489534804368.0,3.847734356416789e-05,0.999961522656436,4.3179998007213036e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.202264434617413e-08,83176376.11026709,66431157430350.17,4474802764508387.5,4.091388212546151e-05,0.9999590861178747,5.255512879255727e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.2783997194630231e-08,78222794.63860029,58754217754105.05,3957684107916516.0,4.350470529493167e-05,0.9999564952947051,6.396575611236924e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.359356390878527e-08,73564224.44596407,51964447416129.94,3500325177950512.5,4.625958168601977e-05,0.9999537404183135,7.785381773368141e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.4454397707459279e-08,69183096.09189363,45959322309549.47,3095819950771252.0,4.91888983026195e-05,0.9999508111016977,9.475720226189678e-23,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.5369745159352708e-08,65062886.48655574,40648166354072.44,2738060485610319.5,5.230369967057652e-05,0.9999476963003295,1.1533058120184014e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.634305842723136e-08,61188056.57518226,35950782297756.64,2421644695576887.5,5.561572944345702e-05,0.9999443842705569,1.403707638463347e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.7378008287493763e-08,57543992.73371567,31796240748029.78,2141794776787286.0,5.913747463877683e-05,0.999940862525361,1.7084755692138473e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.8478497974222906e-08,54116951.654646374,28121809146447.85,1894285064104727.2,6.288221267070852e-05,0.999937117787329,2.0794132409375958e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.964867789993466e-08,50894008.51518094,24872004514806.953,1675378224117396.2,6.686406135572526e-05,0.9999331359386439,2.530886999026623e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.0892961308540408e-08,47863008.2322638,21997755669165.367,1481768821874979.0,7.109803207873003e-05,0.9999289019679211,3.08038228458585e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.2216040919558116e-08,45012519.62061337,19455662251284.68,1310533409246536.0,7.560008631900283e-05,0.999924399913681,3.7491808158669755e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.3622906626344603e-08,42331792.28088211,17207339388934.066,1159086381238598.8,8.038719574781867e-05,0.9999196128042522,4.563184788604906e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.511886431509582e-08,39810716.05534969,15218838089492.32,1025140933708202.8,8.547740612287984e-05,0.9999145225938771,5.553920012853507e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.6709555875589852e-08,37439782.89823811,13460132614845.55,906674532935996.2,9.088990521883268e-05,0.9999091100947815,6.7597568329428755e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.8400980479142137e-08,35210051.01684521,11904667096990.629,801898375653288.8,9.664509504813946e-05,0.9999033549049519,8.227396110364391e-22,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.0199517204020194e-08,33113111.148259073,10528954548285.445,709230378372507.6,0.00010276466864250034,0.9998972353313572,1.0013677813234563e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.211194909364824e-08,31141054.844467584,9312222211439.48,627271288162563.4,0.00010927169168193906,0.9998907283083179,1.21877822478671e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.4145488738336004e-08,29286444.646252375,8236097894064.547,554783554144187.9,0.00011619068927663024,0.9998838093107235,1.483390917151032e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.6307805477010175e-08,27542286.033381633,7284332551469.805,490672640667006.06,0.00012354773822560822,0.9998764522617742,1.8054538529061857e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.8607054321538154e-08,25902001.045313224,6442554928728.885,433970499999177.7,0.00013137056509674876,0.9998686294349028,2.1974399076883056e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.1051906712730784e-08,24359403.472920272,5698054557139.396,383820954968909.75,0.00013968865049390568,0.9998603113495061,2.6745298565482768e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.3651583224016566e-08,22908675.52767775,5039589828344.533,339466770837287.75,0.00014853333989988662,0.9998514666601002,3.2552002510802597e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.641588833612782e-08,21544345.900318824,4457218248055.744,300238221189034.94,0.00015793796150816847,0.9998420620384916,3.961938918235636e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.935524741394806e-08,20261269.126211435,3942146306226.0977,265542975187389.94,0.00016793795148193293,0.9998320620485177,4.822115784698467e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.248074602497723e-08,19054606.17963248,3486596696729.949,234857153491729.38,0.0001785709871062617,0.9998214290128936,5.8690427441946595e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.580417174769969e-08,17919806.223753322,3083690881581.0176,207717417783297.34,0.00018987712832823614,0.9998101228716716,7.143263603790748e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.9338058627532806e-08,16852589.44750751,2727345226421.465,183713974451749.88,0.00020189896821035686,0.9997981010317899,8.694124052358912e-21,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.30957344480193e-08,15848930.924611142,2412179138939.593,162484386798970.97,0.00021468179285522149,0.9997853182071449,1.0581682434647055e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.709137099554119e-08,14905045.433861947,2133433823117.0854,143708102325166.88,0.00022827375139387396,0.999771726248606,1.2879035307291739e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,7.134003750712564e-08,14017373.183467694,1886900422504.3394,127101612459892.3,0.00024272603666679988,0.9997572739633329,1.5675147809161964e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,7.585775750291836e-08,13182566.385564074,1668856467495.8809,112414171650522.53,0.0002580930772652932,0.9997419069227342,1.9078298418888405e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.066156921766127e-08,12397476.630289454,1476009666967.6538,99424011166941.16,0.0002744327416419645,0.999725567258358,2.322027145335729e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.576958985908945e-08,11659143.011798311,1305448195536.7583,87934990451356.03,0.0002918065550426703,0.999708193444957,2.826145960239115e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,9.120108393559096e-08,10964780.961431852,1154596725787.6567,77773635449056.56,0.00031027993005821415,0.9996897200699414,3.439707401641826e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,9.697653591082487e-08,10311771.745930558,1021177541557.1033,68786519199286.48,0.0003299224116429578,0.999670077588357,4.1864702328138163e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.031177274593056e-07,9697652.591082485,903176145093.6604,60837945133508.96,0.00035080793749911747,0.9996491920625011,5.09535071539958e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.0964781961431852e-07,9120107.393559096,798810838764.5315,53807898099178.84,0.00037301511478019146,0.9996269848852195,6.201542110426298e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.1659144011798311e-07,8576957.985908946,706505821997.7039,47590232169765.33,0.00039662751412478824,0.9996033724858754,7.547877158677925e-20,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
