ell,TT,EE,BB,TE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.036896915657502404e+03,3.115376861388098259e-02,1.837271222101527248e-06,2.615617847444442923e+00
3.000000000000000000e+00,9.790451972145929176e+02,4.003752040880832752e-02,3.675001682990338143e-06,2.947879515513662785e+00
4.000000000000000000e+00,9.248823671663036521e+02,3.473841160185561772e-02,6.126019678179157529e-06,2.768514598921737679e+00
5.000000000000000000e+00,8.845073771616258682e+02,2.322093339385587762e-02,9.190927368718569099e-06,2.359920536194481500e+00
6.000000000000000000e+00,8.569162801177769779e+02,1.301008938693966506e-02,1.287046875857671786e-05,1.903097894655876532e+00
7.000000000000000000e+00,8.391477789806542660e+02,7.034022278561010214e-03,1.716552396552410145e-05,1.495517613580629623e+00
8.000000000000000000e+00,8.283977391999904967e+02,4.532766322601728889e-03,2.207710253927879404e-05,1.181733710982261210e+00
9.000000000000000000e+00,8.233189765753357960e+02,3.637733386926224333e-03,2.760633571372223929e-05,9.711478010021664664e-01
1.000000000000000000e+01,8.222336885917153495e+02,3.108240953988287633e-03,3.375446781604066209e-05,8.531272247459662506e-01
1.100000000000000000e+01,8.239677441630482235e+02,2.625917620804973582e-03,4.052284681416326134e-05,8.090704367036423150e-01
1.200000000000000000e+01,8.283675606608130693e+02,2.303894269594265656e-03,4.791291410047867174e-05,8.176934594709655002e-01
1.300000000000000000e+01,8.347850778872159481e+02,2.222551284295673502e-03,5.592619358100972847e-05,8.582662882798176573e-01
1.400000000000000000e+01,8.422871431883486366e+02,2.321700683308473064e-03,6.456428025105065166e-05,9.139248883225107312e-01
1.500000000000000000e+01,8.507616819377442425e+02,2.514021644320296300e-03,7.382882824507571221e-05,9.750440551747000528e-01
1.600000000000000000e+01,8.604826162864684420e+02,2.781491761870345542e-03,8.372153843402806975e-05,1.037258781514378780e+00
1.700000000000000000e+01,8.714134666273572520e+02,3.165793843732896563e-03,9.424414591320316541e-05,1.099896427431437118e+00
1.800000000000000000e+01,8.823029739457233518e+02,3.703885660813609204e-03,1.053984071561572556e-04,1.162529440024264726e+00
1.900000000000000000e+01,8.954126858587663946e+02,4.410188594194223120e-03,1.171860871117722219e-04,1.230476718416985582e+00
2.000000000000000000e+01,9.084014767108895967e+02,5.265212353731596115e-03,1.296089465190544557e-04,1.300737068679151509e+00
