z,k_h_per_Mpc,P_k_Mpc_over_h_cubed
0.000000000000000000e+00,1.000000000000000048e-04,4.411043802438278476e+02
0.000000000000000000e+00,1.056885891610460487e-04,4.652795835475044441e+02
0.000000000000000000e+00,1.117007787885238138e-04,4.907781007476914397e+02
0.000000000000000000e+00,1.180549771834918165e-04,5.176721913652322655e+02
0.000000000000000000e+00,1.247706398196273057e-04,5.460377796130865136e+02
0.000000000000000000e+00,1.318683289125744415e-04,5.759550693325135171e+02
0.000000000000000000e+00,1.393697763779476895e-04,6.075083569485466342e+02
0.000000000000000000e+00,1.472979503707577405e-04,6.407868284826912486e+02
0.000000000000000000e+00,1.556771256099916535e-04,6.758840431321152664e+02
0.000000000000000000e+00,1.645329577036697079e-04,7.128986225167224120e+02
0.000000000000000000e+00,1.738925617019491487e-04,7.519344691459165233e+02
0.000000000000000000e+00,1.837845951187915005e-04,7.931010578333599597e+02
0.000000000000000000e+00,1.942393456763914501e-04,8.365133973863446499e+02
0.000000000000000000e+00,2.052888240410254421e-04,8.822925511360248265e+02
0.000000000000000000e+00,2.169668618342621006e-04,9.305659929536583377e+02
0.000000000000000000e+00,2.293092152196276787e-04,9.814676461759589756e+02
0.000000000000000000e+00,2.423536743818911798e-04,1.035138640229061139e+03
0.000000000000000000e+00,2.561401792341762990e-04,1.091726841985693909e+03
0.000000000000000000e+00,2.707109417071755790e-04,1.151387769392558766e+03
0.000000000000000000e+00,2.861105749948956740e-04,1.214284947290888567e+03
0.000000000000000000e+00,3.023862301526618226e-04,1.280589807801456573e+03
0.000000000000000000e+00,3.195877404656218977e-04,1.350482006479018992e+03
0.000000000000000000e+00,3.377677740297812354e-04,1.424150336670507158e+03
0.000000000000000000e+00,3.569819950127458923e-04,1.501792849584635860e+03
0.000000000000000000e+00,3.772892340879269385e-04,1.583615776293193903e+03
0.000000000000000000e+00,3.987516685640463869e-04,1.669836502791049043e+03
0.000000000000000000e+00,4.214350127614710853e-04,1.760681051489407309e+03
0.000000000000000000e+00,4.454087192182730470e-04,1.856386841349465158e+03
0.000000000000000000e+00,4.707461913420776757e-04,1.957200972616442414e+03
0.000000000000000000e+00,4.975250081588003135e-04,2.063381207448612258e+03
0.000000000000000000e+00,5.258271618464152629e-04,2.175196726764655978e+03
0.000000000000000000e+00,5.557393087810464944e-04,2.292928075481457199e+03
0.000000000000000000e+00,5.873530348640374236e-04,2.416865964552623609e+03
0.000000000000000000e+00,6.207651359423881077e-04,2.547313025973496678e+03
0.000000000000000000e+00,6.560779141811596193e-04,2.684584409133719419e+03
0.000000000000000000e+00,6.933994912952860627e-04,2.829004102164130927e+03
0.000000000000000000e+00,7.328441395998581140e-04,2.980910862987247583e+03
0.000000000000000000e+00,7.745326318924967458e-04,3.140651011841903255e+03
0.000000000000000000e+00,8.185926112390982208e-04,3.308583754287030388e+03
0.000000000000000000e+00,8.651589817951692383e-04,3.485078477385012320e+03
0.000000000000000000e+00,9.143743218593858475e-04,3.670512901451474136e+03
0.000000000000000000e+00,9.663893204240669521e-04,3.865275760413878743e+03
0.000000000000000000e+00,1.021363238559216610e-03,4.069760634219123858e+03
0.000000000000000000e+00,1.079464397042805565e-03,4.284370907243626789e+03
0.000000000000000000e+00,1.140870691730333378e-03,4.509509211110718752e+03
0.000000000000000000e+00,1.205770138241656726e-03,4.745587121491203106e+03
0.000000000000000000e+00,1.274361447632801382e-03,4.993013732408214310e+03
0.000000000000000000e+00,1.346854634815390552e-03,5.252199890954045259e+03
0.000000000000000000e+00,1.423471661586545034e-03,5.523547750797102708e+03
0.000000000000000000e+00,1.504447116238119076e-03,5.807458505762755522e+03
0.000000000000000000e+00,1.590028931826110905e-03,6.104321587867536437e+03
0.000000000000000000e+00,1.680479145299467250e-03,6.414511212266840630e+03
0.000000000000000000e+00,1.776074699812612472e-03,6.738385129624879482e+03
0.000000000000000000e+00,1.877108292678233590e-03,7.076277648566120661e+03
0.000000000000000000e+00,1.983889271556624374e-03,7.428499518489546972e+03
0.000000000000000000e+00,2.096744581625549584e-03,7.795325181660328781e+03
0.000000000000000000e+00,2.216019766630720773e-03,8.176996223184625705e+03
0.000000000000000000e+00,2.342080026881914519e-03,8.573710064016035176e+03
0.000000000000000000e+00,2.475311337434142698e-03,8.985616724627818257e+03
0.000000000000000000e+00,2.616121629877566235e-03,9.412805833520533270e+03
0.000000000000000000e+00,2.764942041354561970e-03,9.855314632820165571e+03
0.000000000000000000e+00,2.922228234628263671e-03,1.031309502345134388e+04
0.000000000000000000e+00,3.088461793244353694e-03,1.078603547529419302e+04
0.000000000000000000e+00,3.264151696057901279e-03,1.127392550869182196e+04
0.000000000000000000e+00,3.449835875639951227e-03,1.177646076472632922e+04
0.000000000000000000e+00,3.646082865335483099e-03,1.229323432536532709e+04
0.000000000000000000e+00,3.853493540015715240e-03,1.282370852334831034e+04
0.000000000000000000e+00,4.072702955854658538e-03,1.336722724311162347e+04
0.000000000000000000e+00,4.304382294763009834e-03,1.392299169335919032e+04
0.000000000000000000e+00,4.549240919432882661e-03,1.449005965852064946e+04
0.000000000000000000e+00,4.808028545285615053e-03,1.506732047842745851e+04
0.000000000000000000e+00,5.081537535972731161e-03,1.565349029980376690e+04
0.000000000000000000e+00,5.370605329458564246e-03,1.624710737561505812e+04
0.000000000000000000e+00,5.676117002112701995e-03,1.684635382766687690e+04
0.000000000000000000e+00,5.999007978663178052e-03,1.745008677498200632e+04
0.000000000000000000e+00,6.340266896307700586e-03,1.805503150357179402e+04
0.000000000000000000e+00,6.700938631752453335e-03,1.865898854344525898e+04
0.000000000000000000e+00,7.082127500446665572e-03,1.925954378841684957e+04
0.000000000000000000e+00,7.485000637808538956e-03,1.985365647069990155e+04
0.000000000000000000e+00,7.910791572795144999e-03,2.043769222299793546e+04
0.000000000000000000e+00,8.360804004758115235e-03,2.100930260608680692e+04
0.000000000000000000e+00,8.836415795149083971e-03,2.156403633289766003e+04
0.000000000000000000e+00,9.339083186296897807e-03,2.209819888937337237e+04
0.000000000000000000e+00,9.870345260173661248e-03,2.260716956559826940e+04
0.000000000000000000e+00,1.043182865080171523e-02,2.308623086493640221e+04
0.000000000000000000e+00,1.102525252473012148e-02,2.353042360559760345e+04
0.000000000000000000e+00,1.165243384482987643e-02,2.393468486904139718e+04
0.000000000000000000e+00,1.231529293352493469e-02,2.429349479161431736e+04
0.000000000000000000e+00,1.301585935249249641e-02,2.460130229166672143e+04
0.000000000000000000e+00,1.375627811683538711e-02,2.485229598691285355e+04
0.000000000000000000e+00,1.453881626275303762e-02,2.504070749141844863e+04
0.000000000000000000e+00,1.536586978882039690e-02,2.516081851191055830e+04
0.000000000000000000e+00,1.623997099212768844e-02,2.520714255251783106e+04
0.000000000000000000e+00,1.716379622174288994e-02,2.517453616963886816e+04
0.000000000000000000e+00,1.814017407323699135e-02,2.505845192239576863e+04
0.000000000000000000e+00,1.917209404936202552e-02,2.485513257443780094e+04
0.000000000000000000e+00,2.026271571339959346e-02,2.456190620278579081e+04
0.000000000000000000e+00,2.141537836320562410e-02,2.417743072237870729e+04
0.000000000000000000e+00,2.263361125557192613e-02,2.370206812653444285e+04
0.000000000000000000e+00,2.392114441220969528e-02,2.313812669492650093e+04
0.000000000000000000e+00,2.528192004044083410e-02,2.249017126540048412e+04
0.000000000000000000e+00,2.672010460356568848e-02,2.176525318158795199e+04
0.000000000000000000e+00,2.824010157786427389e-02,2.097304868528012594e+04
0.000000000000000000e+00,2.984656493529105892e-02,2.012583175949193901e+04
0.000000000000000000e+00,3.154441339314460746e-02,1.923833361935929497e+04
0.000000000000000000e+00,3.333884547434256412e-02,1.832735519390008994e+04
0.000000000000000000e+00,3.523535542441392360e-02,1.741120281541243821e+04
0.000000000000000000e+00,3.723975003394319055e-02,1.650882846160174813e+04
0.000000000000000000e+00,3.935816641797473814e-02,1.563877284325373512e+04
0.000000000000000000e+00,4.159709080681408405e-02,1.481799906123027722e+04
0.000000000000000000e+00,4.396337840576100553e-02,1.406044256849120393e+04
0.000000000000000000e+00,4.646427438458079762e-02,1.337564843632602606e+04
0.000000000000000000e+00,4.910743606098072478e-02,1.276741946555522736e+04
0.000000000000000000e+00,5.190095634601331331e-02,1.223250357941834227e+04
0.000000000000000000e+00,5.485338852319187469e-02,1.175970073236584903e+04
0.000000000000000000e+00,5.797377243718866702e-02,1.132954756037966399e+04
0.000000000000000000e+00,6.127166217230003986e-02,1.091568542586924377e+04
0.000000000000000000e+00,6.475715530542627829e-02,1.048954774031606576e+04
0.000000000000000000e+00,6.844092382313252121e-02,1.001736254334168007e+04
0.000000000000000000e+00,7.233424679745503738e-02,9.470091511284848821e+03
0.000000000000000000e+00,7.644904492049932332e-02,8.838816296492876063e+03
0.000000000000000000e+00,8.079791700357009943e-02,8.136345753790158597e+03
0.000000000000000000e+00,8.539417855258617240e-02,7.398316030385970407e+03
0.000000000000000000e+00,9.025190253789285022e-02,6.675422169385390589e+03
0.000000000000000000e+00,9.538596248330130645e-02,6.019673263021131788e+03
0.000000000000000000e+00,1.008120780062858463e-01,5.473982980898077585e+03
0.000000000000000000e+00,1.065468629487767438e-01,5.057432972842932941e+03
0.000000000000000000e+00,1.126078762459153809e-01,4.757825453970333911e+03
0.000000000000000000e+00,1.190136756885247088e-01,4.527259543153657432e+03
0.000000000000000000e+00,1.257838747439046223e-01,4.296179188223799429e+03
0.000000000000000000e+00,1.329392026089300516e-01,4.003934121405008227e+03
0.000000000000000000e+00,1.405015676793227308e-01,3.632838488057650920e+03
0.000000000000000000e+00,1.484941246294285144e-01,3.221534126609512441e+03
0.000000000000000000e+00,1.569413453078884191e-01,2.842693857984064380e+03
0.000000000000000000e+00,1.658690936662727267e-01,2.557765382246928311e+03
0.000000000000000000e+00,1.753047049500976728e-01,2.371516175525507151e+03
0.000000000000000000e+00,1.852770693946927394e-01,2.229093567317350789e+03
0.000000000000000000e+00,1.958167206821828654e-01,2.060380809729865632e+03
0.000000000000000000e+00,2.069559294304254005e-01,1.841088571122301573e+03
0.000000000000000000e+00,2.187288020001467159e-01,1.617413732439963724e+03
0.000000000000000000e+00,2.311713849228130280e-01,1.447728312475342136e+03
0.000000000000000000e+00,2.443217752689720579e-01,1.333509438824458130e+03
0.000000000000000000e+00,2.582202372949981006e-01,1.224307860882958721e+03
0.000000000000000000e+00,2.729093257253888960e-01,1.091304905743025529e+03
0.000000000000000000e+00,2.884340160480872717e-01,9.642233854670535038e+02
0.000000000000000000e+00,3.048418422217683554e-01,8.709886019212732435e+02
0.000000000000000000e+00,3.221830422167288321e-01,7.912319655430147805e+02
0.000000000000000000e+00,3.405107118349984807e-01,7.043453139593977994e+02
0.000000000000000000e+00,3.598809672806446702e-01,6.261519694162874430e+02
0.000000000000000000e+00,3.803531169780395849e-01,5.638150816929880875e+02
0.000000000000000000e+00,4.019898431641528158e-01,5.033934703972327043e+02
0.000000000000000000e+00,4.248573938108946568e-01,4.472568318870414714e+02
0.000000000000000000e+00,4.490257854651243385e-01,3.999616806685178858e+02
0.000000000000000000e+00,4.745690176273950067e-01,3.556922820035151176e+02
0.000000000000000000e+00,5.015652993258294945e-01,3.162765020544114805e+02
0.000000000000000000e+00,5.300972885788473032e-01,2.813136062145520668e+02
0.000000000000000000e+00,5.602523454799422931e-01,2.495934986973827563e+02
0.000000000000000000e+00,5.921227996794201642e-01,2.215333341937396767e+02
0.000000000000000000e+00,6.258062330820668429e-01,1.962879964775032988e+02
0.000000000000000000e+00,6.614057786263234373e-01,1.738548116491379574e+02
0.000000000000000000e+00,6.990304360597935363e-01,1.538585479343057614e+02
0.000000000000000000e+00,7.387954056779033607e-01,1.360411504130217395e+02
0.000000000000000000e+00,7.808224410476022337e-01,1.201989209787294186e+02
0.000000000000000000e+00,8.252402217960521646e-01,1.061228410478121447e+02
0.000000000000000000e+00,8.721847476057342785e-01,9.362621229455837124e+01
0.000000000000000000e+00,9.217997546223303251e-01,8.254285726106078869e+01
0.000000000000000000e+00,9.742371555503265279e-01,7.272276635736795924e+01
