case,model,ndata,free_rd,k,H0,Omega_m0,theta,nu,rd,chi2,AIC,BIC,delta_chi2_R1_minus_LCDM,delta_AIC_R1_minus_LCDM,delta_BIC_R1_minus_LCDM,sigma_approx
Pantheon_only,lcdm,1580,False,2,69.525,0.332625,2.0,0.0,147.09,1386.3965083956718,1390.3965083956718,1401.1268686477138,0.0,0.0,0.0,0.0
Pantheon_only,r1,1580,False,3,70.175,0.26012500000000055,1.2874999999999983,0.0,147.09,1385.9326063357294,1391.9326063357294,1408.0281467137925,-0.4639020599424839,1.536097940057516,6.901278066078703,0.681103560365444
DESI_DR2_BAO_only,lcdm,13,False,2,68.975,0.29950000000000004,2.0,0.0,147.09,10.320813076377108,14.320813076377108,15.450711791300183,0.0,0.0,0.0,0.0
DESI_DR2_BAO_only,r1,13,False,3,68.425,0.2955,1.7718749999999996,0.0,147.09,9.552763711587902,15.552763711587902,17.247611783972513,-0.7680493647892064,1.2319506352107936,1.79689999267233,0.8763842563563122
CC_only,lcdm,31,False,2,68.15,0.319375,2.0,0.0,147.09,14.500021581178899,18.5000215811789,21.36799599014919,0.0,0.0,0.0,0.0
CC_only,r1,31,False,3,69.14999999999999,0.33524999999999994,2.715625,0.0,147.09,14.4367572556854,20.4367572556854,24.73871886914084,-0.06326432549349903,1.936735674506501,3.37072287899165,0.25152400579964335
Pantheon_DESI_DR2_BAO,lcdm,1593,False,2,68.64999999999999,0.30550000000000005,2.0,0.0,147.09,1399.528869673147,1403.528869673147,1414.2756182929672,0.0,0.0,0.0,0.0
Pantheon_DESI_DR2_BAO,r1,1593,False,3,68.0,0.29262499999999997,1.619375,0.0,147.09,1395.7571578449185,1401.7571578449185,1417.8772807746486,-3.77171182822849,-1.77171182822849,3.6016624816813874,1.9420895520620285
Pantheon_DESI_DR2_BAO_CC,lcdm,1624,False,2,68.625,0.306,2.0,0.0,147.09,1414.0902097541389,1418.0902097541389,1428.8755047955822,0.0,0.0,0.0,0.0
Pantheon_DESI_DR2_BAO_CC,r1,1624,False,3,68.0,0.293,1.6225,0.0,147.09,1410.3862896857115,1416.3862896857115,1432.5642322478764,-3.703920068427351,-1.703920068427351,3.688727452294188,1.9245571096819525
Pantheon_DESI_DR2_BAO_CC_free_rd,lcdm,1624,True,3,68.5,0.306,2.0,0.0,147.37125000000003,1414.1107721022283,1420.1107721022283,1436.2887146643932,0.0,0.0,0.0,0.0
