#    L    TT             EE             TE             PP             TP          
     2   0.923988E+03   0.321802E-01   0.266591E+01   0.108742E+07   0.241143E+05
     3   0.897208E+03   0.405748E-01   0.298675E+01   0.166965E+07   0.286710E+05
     4   0.862619E+03   0.343972E-01   0.277995E+01   0.218328E+07   0.307269E+05
     5   0.835437E+03   0.224096E-01   0.234318E+01   0.263496E+07   0.314716E+05
     6   0.817130E+03   0.122923E-01   0.186629E+01   0.303231E+07   0.315214E+05
     7   0.806358E+03   0.664289E-02   0.145188E+01   0.338364E+07   0.312154E+05
     8   0.800961E+03   0.436856E-02   0.114167E+01   0.369553E+07   0.306815E+05
     9   0.799996E+03   0.352157E-02   0.938308E+00   0.397372E+07   0.299755E+05
    10   0.802256E+03   0.296340E-02   0.829834E+00   0.422219E+07   0.291749E+05
    11   0.806483E+03   0.247538E-02   0.795138E+00   0.444574E+07   0.283789E+05
    12   0.813593E+03   0.218410E-02   0.813137E+00   0.464539E+07   0.276042E+05
    13   0.821771E+03   0.212562E-02   0.859156E+00   0.482601E+07   0.269074E+05
    14   0.830895E+03   0.221697E-02   0.912988E+00   0.498777E+07   0.261917E+05
    15   0.839955E+03   0.238857E-02   0.968669E+00   0.513424E+07   0.254714E+05
    16   0.850761E+03   0.264522E-02   0.102819E+01   0.526600E+07   0.247166E+05
    17   0.863198E+03   0.303116E-02   0.109004E+01   0.538458E+07   0.239613E+05
    18   0.876154E+03   0.358461E-02   0.115400E+01   0.549173E+07   0.232514E+05
    19   0.890393E+03   0.430158E-02   0.122346E+01   0.558816E+07   0.225870E+05
    20   0.904307E+03   0.515369E-02   0.129324E+01   0.567442E+07   0.219572E+05
    21   0.918609E+03   0.613758E-02   0.136723E+01   0.575165E+07   0.213543E+05
    22   0.933347E+03   0.726782E-02   0.144490E+01   0.582095E+07   0.207720E+05
    23   0.948138E+03   0.853333E-02   0.152272E+01   0.588286E+07   0.202100E+05
    24   0.963303E+03   0.992803E-02   0.159672E+01   0.593780E+07   0.196689E+05
    25   0.978981E+03   0.114606E-01   0.165981E+01   0.598638E+07   0.191490E+05
    26   0.994684E+03   0.131484E-01   0.171652E+01   0.602922E+07   0.186499E+05
    27   0.101083E+04   0.150038E-01   0.176789E+01   0.606681E+07   0.181675E+05
    28   0.102725E+04   0.170211E-01   0.180928E+01   0.609953E+07   0.176989E+05
