#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103826E-04   0.192117E+08   0.192117E+08   0.256017E+08   0.256014E+08   0.000000E+00   0.192117E+08   0.192117E+08   0.192194E+08  -0.475088E+00   0.102428E+08   0.102428E+08   0.532585E+01
   0.114639E-04   0.192117E+08   0.192117E+08   0.255987E+08   0.255983E+08   0.000000E+00   0.192117E+08   0.192117E+08   0.192194E+08  -0.475089E+00   0.102428E+08   0.102428E+08   0.588029E+01
   0.126578E-04   0.192117E+08   0.192117E+08   0.255950E+08   0.255946E+08   0.000000E+00   0.192117E+08   0.192117E+08   0.192194E+08  -0.475091E+00   0.102428E+08   0.102428E+08   0.649242E+01
   0.139760E-04   0.192118E+08   0.192118E+08   0.255906E+08   0.255900E+08   0.000000E+00   0.192118E+08   0.192118E+08   0.192194E+08  -0.475093E+00   0.102428E+08   0.102428E+08   0.716820E+01
   0.154315E-04   0.192118E+08   0.192118E+08   0.255851E+08   0.255844E+08   0.000000E+00   0.192118E+08   0.192118E+08   0.192195E+08  -0.475096E+00   0.102428E+08   0.102428E+08   0.791423E+01
   0.170386E-04   0.192118E+08   0.192118E+08   0.255785E+08   0.255776E+08   0.000000E+00   0.192118E+08   0.192118E+08   0.192195E+08  -0.475099E+00   0.102428E+08   0.102428E+08   0.873779E+01
   0.188130E-04   0.192119E+08   0.192119E+08   0.255704E+08   0.255694E+08   0.000000E+00   0.192119E+08   0.192119E+08   0.192196E+08  -0.475103E+00   0.102429E+08   0.102429E+08   0.964689E+01
   0.207723E-04   0.192120E+08   0.192120E+08   0.255605E+08   0.255593E+08   0.000000E+00   0.192120E+08   0.192120E+08   0.192196E+08  -0.475107E+00   0.102429E+08   0.102429E+08   0.106504E+02
   0.229355E-04   0.192120E+08   0.192120E+08   0.255485E+08   0.255470E+08   0.000000E+00   0.192120E+08   0.192120E+08   0.192197E+08  -0.475113E+00   0.102429E+08   0.102429E+08   0.117579E+02
   0.253241E-04   0.192121E+08   0.192121E+08   0.255338E+08   0.255320E+08   0.000000E+00   0.192121E+08   0.192121E+08   0.192198E+08  -0.475120E+00   0.102430E+08   0.102430E+08   0.129803E+02
   0.279614E-04   0.192123E+08   0.192122E+08   0.255159E+08   0.255137E+08   0.000000E+00   0.192123E+08   0.192123E+08   0.192199E+08  -0.475128E+00   0.102430E+08   0.102430E+08   0.143292E+02
   0.308734E-04   0.192124E+08   0.192124E+08   0.254942E+08   0.254915E+08   0.000000E+00   0.192124E+08   0.192124E+08   0.192201E+08  -0.475139E+00   0.102431E+08   0.102431E+08   0.158177E+02
   0.340887E-04   0.192126E+08   0.192126E+08   0.254677E+08   0.254644E+08   0.000000E+00   0.192126E+08   0.192126E+08   0.192202E+08  -0.475151E+00   0.102431E+08   0.102431E+08   0.174598E+02
   0.376387E-04   0.192128E+08   0.192128E+08   0.254354E+08   0.254314E+08   0.000000E+00   0.192128E+08   0.192128E+08   0.192204E+08  -0.475166E+00   0.102432E+08   0.102432E+08   0.192711E+02
   0.415585E-04   0.192131E+08   0.192130E+08   0.253961E+08   0.253913E+08   0.000000E+00   0.192131E+08   0.192131E+08   0.192207E+08  -0.475185E+00   0.102433E+08   0.102433E+08   0.212686E+02
   0.458865E-04   0.192134E+08   0.192134E+08   0.253483E+08   0.253424E+08   0.000000E+00   0.192134E+08   0.192134E+08   0.192210E+08  -0.475208E+00   0.102435E+08   0.102435E+08   0.234710E+02
   0.506653E-04   0.192138E+08   0.192138E+08   0.252900E+08   0.252829E+08   0.000000E+00   0.192138E+08   0.192138E+08   0.192214E+08  -0.475235E+00   0.102436E+08   0.102436E+08   0.258983E+02
   0.559417E-04   0.192142E+08   0.192142E+08   0.252192E+08   0.252105E+08   0.000000E+00   0.192142E+08   0.192142E+08   0.192218E+08  -0.475269E+00   0.102438E+08   0.102438E+08   0.285725E+02
   0.617676E-04   0.192148E+08   0.192148E+08   0.251332E+08   0.251226E+08   0.000000E+00   0.192148E+08   0.192148E+08   0.192224E+08  -0.475309E+00   0.102440E+08   0.102440E+08   0.315174E+02
   0.682003E-04   0.192155E+08   0.192155E+08   0.250286E+08   0.250157E+08   0.000000E+00   0.192155E+08   0.192155E+08   0.192230E+08  -0.475359E+00   0.102443E+08   0.102443E+08   0.347583E+02
   0.753028E-04   0.192164E+08   0.192164E+08   0.249016E+08   0.248860E+08   0.000000E+00   0.192164E+08   0.192164E+08   0.192239E+08  -0.475419E+00   0.102447E+08   0.102447E+08   0.383226E+02
   0.831451E-04   0.192174E+08   0.192174E+08   0.247476E+08   0.247287E+08   0.000000E+00   0.192174E+08   0.192174E+08   0.192249E+08  -0.475492E+00   0.102451E+08   0.102451E+08   0.422390E+02
   0.918040E-04   0.192187E+08   0.192187E+08   0.245611E+08   0.245381E+08   0.000000E+00   0.192187E+08   0.192187E+08   0.192261E+08  -0.475581E+00   0.102456E+08   0.102456E+08   0.465377E+02
   0.101365E-03   0.192202E+08   0.192202E+08   0.243354E+08   0.243075E+08   0.000000E+00   0.192202E+08   0.192202E+08   0.192275E+08  -0.475689E+00   0.102462E+08   0.102462E+08   0.512499E+02
   0.111921E-03   0.192221E+08   0.192221E+08   0.240628E+08   0.240291E+08   0.000000E+00   0.192221E+08   0.192221E+08   0.192293E+08  -0.475819E+00   0.102470E+08   0.102470E+08   0.564070E+02
   0.123577E-03   0.192244E+08   0.192243E+08   0.237342E+08   0.236936E+08   0.000000E+00   0.192244E+08   0.192244E+08   0.192315E+08  -0.475976E+00   0.102479E+08   0.102479E+08   0.620399E+02
   0.136446E-03   0.192271E+08   0.192270E+08   0.233391E+08   0.232902E+08   0.000000E+00   0.192271E+08   0.192271E+08   0.192341E+08  -0.476166E+00   0.102490E+08   0.102490E+08   0.681778E+02
   0.150656E-03   0.192304E+08   0.192304E+08   0.228656E+08   0.228069E+08   0.000000E+00   0.192304E+08   0.192304E+08   0.192373E+08  -0.476394E+00   0.102503E+08   0.102503E+08   0.748461E+02
   0.166346E-03   0.192345E+08   0.192343E+08   0.223002E+08   0.222299E+08   0.000000E+00   0.192344E+08   0.192344E+08   0.192411E+08  -0.476668E+00   0.102519E+08   0.102518E+08   0.820643E+02
   0.183670E-03   0.192393E+08   0.192391E+08   0.216281E+08   0.215444E+08   0.000000E+00   0.192393E+08   0.192393E+08   0.192457E+08  -0.476996E+00   0.102538E+08   0.102537E+08   0.898429E+02
   0.202798E-03   0.192451E+08   0.192449E+08   0.208338E+08   0.207347E+08   0.000000E+00   0.192450E+08   0.192450E+08   0.192513E+08  -0.477386E+00   0.102560E+08   0.102560E+08   0.981790E+02
   0.223918E-03   0.192520E+08   0.192518E+08   0.199016E+08   0.197848E+08   0.000000E+00   0.192520E+08   0.192520E+08   0.192579E+08  -0.477848E+00   0.102587E+08   0.102586E+08   0.107051E+03
   0.247237E-03   0.192603E+08   0.192600E+08   0.188169E+08   0.186804E+08   0.000000E+00   0.192602E+08   0.192602E+08   0.192658E+08  -0.478391E+00   0.102619E+08   0.102618E+08   0.116413E+03
   0.272985E-03   0.192700E+08   0.192697E+08   0.175681E+08   0.174101E+08   0.000000E+00   0.192700E+08   0.192700E+08   0.192753E+08  -0.479026E+00   0.102655E+08   0.102654E+08   0.126187E+03
   0.301414E-03   0.192816E+08   0.192812E+08   0.161490E+08   0.159683E+08   0.000000E+00   0.192815E+08   0.192815E+08   0.192863E+08  -0.479759E+00   0.102698E+08   0.102697E+08   0.136251E+03
   0.332804E-03   0.192951E+08   0.192946E+08   0.145626E+08   0.143589E+08   0.000000E+00   0.192950E+08   0.192950E+08   0.192993E+08  -0.480595E+00   0.102747E+08   0.102745E+08   0.146438E+03
   0.367463E-03   0.193107E+08   0.193101E+08   0.128250E+08   0.125995E+08   0.000000E+00   0.193106E+08   0.193106E+08   0.193144E+08  -0.481534E+00   0.102801E+08   0.102800E+08   0.156517E+03
   0.405732E-03   0.193285E+08   0.193279E+08   0.109699E+08   0.107259E+08   0.000000E+00   0.193284E+08   0.193284E+08   0.193317E+08  -0.482568E+00   0.102862E+08   0.102860E+08   0.166194E+03
   0.447986E-03   0.193487E+08   0.193480E+08   0.905281E+07   0.879611E+07   0.000000E+00   0.193486E+08   0.193486E+08   0.193512E+08  -0.483678E+00   0.102926E+08   0.102924E+08   0.175110E+03
   0.494640E-03   0.193710E+08   0.193701E+08   0.715231E+07   0.689186E+07   0.000000E+00   0.193708E+08   0.193708E+08   0.193730E+08  -0.484831E+00   0.102993E+08   0.102990E+08   0.182843E+03
   0.546154E-03   0.193951E+08   0.193941E+08   0.536741E+07   0.511512E+07   0.000000E+00   0.193949E+08   0.193949E+08   0.193965E+08  -0.485976E+00   0.103059E+08   0.103055E+08   0.188935E+03
   0.603031E-03   0.194204E+08   0.194192E+08   0.380686E+07   0.357684E+07   0.000000E+00   0.194202E+08   0.194202E+08   0.194213E+08  -0.487046E+00   0.103118E+08   0.103115E+08   0.192924E+03
   0.665833E-03   0.194458E+08   0.194445E+08   0.256879E+07   0.237547E+07   0.000000E+00   0.194456E+08   0.194456E+08   0.194464E+08  -0.487957E+00   0.103165E+08   0.103161E+08   0.194394E+03
   0.735174E-03   0.194701E+08   0.194686E+08   0.171167E+07   0.156677E+07   0.000000E+00   0.194699E+08   0.194699E+08   0.194704E+08  -0.488618E+00   0.103192E+08   0.103188E+08   0.193051E+03
   0.811737E-03   0.194915E+08   0.194898E+08   0.122412E+07   0.113294E+07   0.000000E+00   0.194912E+08   0.194912E+08   0.194916E+08  -0.488943E+00   0.103190E+08   0.103186E+08   0.188777E+03
   0.896274E-03   0.195079E+08   0.195060E+08   0.101004E+07   0.968438E+06   0.000000E+00   0.195076E+08   0.195076E+08   0.195079E+08  -0.488873E+00   0.103152E+08   0.103147E+08   0.181682E+03
   0.989614E-03   0.195171E+08   0.195152E+08   0.910967E+06   0.905116E+06   0.000000E+00   0.195168E+08   0.195168E+08   0.195171E+08  -0.488390E+00   0.103069E+08   0.103064E+08   0.172103E+03
   0.109267E-02   0.195174E+08   0.195153E+08   0.776298E+06   0.786802E+06   0.000000E+00   0.195170E+08   0.195170E+08   0.195173E+08  -0.487525E+00   0.102939E+08   0.102934E+08   0.160543E+03
   0.120647E-02   0.195071E+08   0.195049E+08   0.554317E+06   0.563896E+06   0.000000E+00   0.195068E+08   0.195068E+08   0.195069E+08  -0.486348E+00   0.102761E+08   0.102755E+08   0.147592E+03
   0.133211E-02   0.194854E+08   0.194832E+08   0.326714E+06   0.326908E+06   0.000000E+00   0.194850E+08   0.194850E+08   0.194851E+08  -0.484932E+00   0.102534E+08   0.102529E+08   0.133868E+03
   0.147084E-02   0.194519E+08   0.194496E+08   0.213915E+06   0.205411E+06   0.000000E+00   0.194515E+08   0.194515E+08   0.194516E+08  -0.483313E+00   0.102260E+08   0.102255E+08   0.120018E+03
   0.162402E-02   0.194064E+08   0.194041E+08   0.211768E+06   0.199079E+06   0.000000E+00   0.194060E+08   0.194060E+08   0.194061E+08  -0.481488E+00   0.101938E+08   0.101933E+08   0.106755E+03
   0.179315E-02   0.193487E+08   0.193464E+08   0.184954E+06   0.173220E+06   0.000000E+00   0.193483E+08   0.193483E+08   0.193484E+08  -0.479432E+00   0.101566E+08   0.101561E+08   0.947629E+02
   0.197989E-02   0.192784E+08   0.192761E+08   0.925971E+05   0.874749E+05   0.000000E+00   0.192780E+08   0.192780E+08   0.192781E+08  -0.477136E+00   0.101138E+08   0.101133E+08   0.844704E+02
   0.218609E-02   0.191949E+08   0.191925E+08   0.544993E+05   0.555804E+05   0.000000E+00   0.191945E+08   0.191945E+08   0.191945E+08  -0.474594E+00   0.100650E+08   0.100645E+08   0.759063E+02
   0.241375E-02   0.190974E+08   0.190949E+08   0.631648E+05   0.616468E+05   0.000000E+00   0.190970E+08   0.190970E+08   0.190970E+08  -0.471782E+00   0.100098E+08   0.100093E+08   0.687909E+02
   0.266512E-02   0.189852E+08   0.189825E+08   0.284957E+05   0.231065E+05   0.000000E+00   0.189847E+08   0.189847E+08   0.189847E+08  -0.468667E+00   0.994754E+07   0.994704E+07   0.626422E+02
   0.294268E-02   0.188571E+08   0.188543E+08   0.284321E+05   0.225356E+05   0.000000E+00   0.188567E+08   0.188567E+08   0.188567E+08  -0.465222E+00   0.987766E+07   0.987716E+07   0.569175E+02
   0.324914E-02   0.187123E+08   0.187092E+08   0.149647E+05   0.111030E+05   0.000000E+00   0.187118E+08   0.187118E+08   0.187118E+08  -0.461411E+00   0.979948E+07   0.979898E+07   0.513685E+02
   0.358751E-02   0.185494E+08   0.185461E+08   0.740011E+04   0.792110E+04   0.000000E+00   0.185489E+08   0.185489E+08   0.185489E+08  -0.457198E+00   0.971229E+07   0.971180E+07   0.461203E+02
   0.396112E-02   0.183673E+08   0.183637E+08   0.284650E+03   0.522024E+03   0.000000E+00   0.183667E+08   0.183667E+08   0.183667E+08  -0.452546E+00   0.961539E+07   0.961489E+07   0.414768E+02
   0.437364E-02   0.181646E+08   0.181606E+08   0.267476E+04   0.469600E+04   0.000000E+00   0.181639E+08   0.181639E+08   0.181639E+08  -0.447418E+00   0.950801E+07   0.950752E+07   0.375107E+02
   0.482913E-02   0.179400E+08   0.179357E+08  -0.577223E+03   0.185960E+05   0.000000E+00   0.179393E+08   0.179393E+08   0.179393E+08  -0.441777E+00   0.938943E+07   0.938894E+07   0.339504E+02
   0.533204E-02   0.176922E+08   0.176874E+08  -0.791232E+03   0.186889E+05   0.000000E+00   0.176915E+08   0.176915E+08   0.176915E+08  -0.435584E+00   0.925888E+07   0.925840E+07   0.305984E+02
   0.588734E-02   0.174199E+08   0.174144E+08   0.102182E+02   0.175423E+05   0.000000E+00   0.174190E+08   0.174190E+08   0.174190E+08  -0.428803E+00   0.911563E+07   0.911514E+07   0.275971E+02
   0.650046E-02   0.171215E+08   0.171153E+08  -0.117977E+04   0.154632E+05   0.000000E+00   0.171205E+08   0.171205E+08   0.171205E+08  -0.421396E+00   0.895891E+07   0.895842E+07   0.249899E+02
   0.717743E-02   0.167959E+08   0.167887E+08  -0.767108E+03   0.127387E+05   0.000000E+00   0.167947E+08   0.167947E+08   0.167947E+08  -0.413328E+00   0.878799E+07   0.878750E+07   0.226020E+02
   0.792491E-02   0.164415E+08   0.164333E+08  -0.121055E+04   0.100864E+05   0.000000E+00   0.164402E+08   0.164402E+08   0.164402E+08  -0.404562E+00   0.860213E+07   0.860165E+07   0.204796E+02
   0.875023E-02   0.160571E+08   0.160476E+08  -0.184611E+04   0.845644E+04   0.000000E+00   0.160556E+08   0.160556E+08   0.160556E+08  -0.395064E+00   0.840060E+07   0.840012E+07   0.185955E+02
   0.966150E-02   0.156413E+08   0.156303E+08  -0.673713E+03   0.710273E+04   0.000000E+00   0.156395E+08   0.156395E+08   0.156395E+08  -0.384799E+00   0.818270E+07   0.818221E+07   0.169057E+02
   0.106677E-01   0.151927E+08   0.151800E+08  -0.125419E+04   0.531939E+04   0.000000E+00   0.151907E+08   0.151907E+08   0.151907E+08  -0.373733E+00   0.794770E+07   0.794721E+07   0.154252E+02
   0.117786E-01   0.147103E+08   0.146955E+08  -0.897266E+03   0.423281E+04   0.000000E+00   0.147079E+08   0.147079E+08   0.147079E+08  -0.361833E+00   0.769496E+07   0.769446E+07   0.140968E+02
   0.130053E-01   0.141927E+08   0.141755E+08  -0.598683E+03   0.345729E+04   0.000000E+00   0.141899E+08   0.141899E+08   0.141899E+08  -0.349073E+00   0.742386E+07   0.742335E+07   0.129283E+02
   0.143597E-01   0.136391E+08   0.136192E+08  -0.672453E+03   0.267434E+04   0.000000E+00   0.136359E+08   0.136359E+08   0.136359E+08  -0.335427E+00   0.713391E+07   0.713340E+07   0.118893E+02
   0.158552E-01   0.130489E+08   0.130260E+08  -0.667623E+03   0.205606E+04   0.000000E+00   0.130452E+08   0.130452E+08   0.130452E+08  -0.320882E+00   0.682485E+07   0.682433E+07   0.109653E+02
   0.175064E-01   0.124224E+08   0.123961E+08  -0.389831E+03   0.170427E+04   0.000000E+00   0.124182E+08   0.124182E+08   0.124182E+08  -0.305442E+00   0.649673E+07   0.649620E+07   0.101310E+02
   0.193295E-01   0.117605E+08   0.117306E+08  -0.414507E+03   0.132803E+04   0.000000E+00   0.117557E+08   0.117557E+08   0.117557E+08  -0.289133E+00   0.615014E+07   0.614959E+07   0.936961E+01
   0.213425E-01   0.110660E+08   0.110323E+08  -0.268033E+03   0.102928E+04   0.000000E+00   0.110606E+08   0.110606E+08   0.110606E+08  -0.272020E+00   0.578645E+07   0.578589E+07   0.865979E+01
