a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
1.000000000000001458e-10,-1.000000000653255672e+00,7.679903586677724838e-37,2.559968007545036395e-37,-1.279984003772518198e-37
2.623260067869747622e-08,-1.000000122915867706e+00,3.636446212077075788e-27,1.212166668978620035e-27,-6.060833344893100176e-28
1.644269457124689055e-07,-1.000000670372733325e+00,5.610106653017745560e-24,1.870208510212975371e-24,-9.351042551064876857e-25
5.092391823469589590e-07,-1.000001885376863742e+00,5.154498972728603034e-22,1.718657369578231753e-22,-8.593286847891158763e-23
1.155225457827812803e-06,-1.000003963646729055e+00,1.361700578310289351e-20,4.541936728092031171e-21,-2.270968364046015585e-21
2.196941919400675599e-06,-1.000007070806643972e+00,1.773965911548003409e-19,5.920464649423126634e-20,-2.960232324711563317e-20
3.728944714311190784e-06,-1.000011350408379407e+00,1.463735068988695339e-18,4.889215122505148505e-19,-2.444607561252574252e-19
5.845789989805008258e-06,-1.000016928904888136e+00,8.769773057326278757e-18,2.932683453457986755e-18,-1.466341726728993378e-18
8.642033893127765214e-06,-1.000023919155363705e+00,4.144698657751165399e-17,1.388099577335477146e-17,-6.940497886677385728e-18
1.221223257152510901e-05,-1.000032423095363443e+00,1.630873404176826102e-16,5.472214690063040536e-17,-2.736107345031520268e-17
1.665094217224269123e-05,-1.000042533865884042e+00,5.544976442472552843e-16,1.864800620016138897e-16,-9.324003100080694487e-17
2.205271884252614823e-05,-1.000054337546671279e+00,1.673037883225470855e-15,5.641688578225012904e-16,-2.820844289112506452e-16
2.851211872962112313e-05,-1.000067914567140726e+00,4.569109938219806604e-15,1.545568353041985394e-15,-7.727841765209926970e-16
3.612369798077327598e-05,-1.000083340833165746e+00,1.146674895701781922e-14,3.892513183188390433e-15,-1.946256591594195217e-15
4.498201274322824992e-05,-1.000100688592969966e+00,2.675884240157160137e-14,9.119329917126997606e-15,-4.559664958563498803e-15
5.518161916423164402e-05,-1.000120027062111117e+00,5.861606463151784778e-14,2.006222905316896112e-14,-1.003111452658448056e-14
6.681707339102918271e-05,-1.000141422830832516e+00,1.214589690718755501e-13,4.176426127266243841e-14,-2.088213063633121920e-14
7.998293157086646169e-05,-1.000164940083105858e+00,2.395916394633275506e-13,8.279170784847167356e-14,-4.139585392423583678e-14
9.477374985098909019e-05,-1.000190640662582675e+00,4.523405418334453712e-13,1.571184210044522211e-13,-7.855921050222611057e-14
1.112840843786427994e-04,-1.000218584024433977e+00,8.210828826941218606e-13,2.867339397522469398e-13,-1.433669698761234699e-13
1.296084913010731986e-04,-1.000248827112576899e+00,1.438585631063900250e-12,5.051489638428590925e-13,-2.525744819214295462e-13
