#    L    TT             EE             BB             TE          
     2   0.923985E+03   0.321818E-01   0.167774E-05   0.266591E+01
     3   0.897212E+03   0.405782E-01   0.335596E-05   0.298675E+01
     4   0.862630E+03   0.344028E-01   0.559432E-05   0.277995E+01
     5   0.835453E+03   0.224180E-01   0.839346E-05   0.234318E+01
     6   0.817153E+03   0.123040E-01   0.117541E-04   0.186629E+01
     7   0.806388E+03   0.665857E-02   0.156773E-04   0.145188E+01
     8   0.801000E+03   0.438872E-02   0.201640E-04   0.114167E+01
     9   0.800045E+03   0.354679E-02   0.252153E-04   0.938302E+00
    10   0.802316E+03   0.299423E-02   0.308327E-04   0.829824E+00
    11   0.806554E+03   0.251240E-02   0.370174E-04   0.795124E+00
    12   0.813677E+03   0.222786E-02   0.437710E-04   0.813118E+00
    13   0.821868E+03   0.217671E-02   0.510951E-04   0.859129E+00
    14   0.831007E+03   0.227595E-02   0.589913E-04   0.912953E+00
    15   0.840082E+03   0.245602E-02   0.674614E-04   0.968623E+00
    16   0.850904E+03   0.272170E-02   0.765071E-04   0.102813E+01
    17   0.863358E+03   0.311726E-02   0.861301E-04   0.108997E+01
    18   0.876332E+03   0.368091E-02   0.963325E-04   0.115391E+01
    19   0.890590E+03   0.440865E-02   0.107116E-03   0.122335E+01
    20   0.904523E+03   0.527210E-02   0.118482E-03   0.129311E+01
    21   0.918845E+03   0.626791E-02   0.130433E-03   0.136707E+01
    22   0.933604E+03   0.741066E-02   0.142970E-03   0.144471E+01
    23   0.948416E+03   0.868926E-02   0.156096E-03   0.152250E+01
    24   0.963604E+03   0.100976E-01   0.169811E-03   0.159646E+01
    25   0.979304E+03   0.116444E-01   0.184118E-03   0.165951E+01
    26   0.995030E+03   0.133470E-01   0.199018E-03   0.171617E+01
    27   0.101120E+04   0.152179E-01   0.214512E-03   0.176750E+01
    28   0.102764E+04   0.172512E-01   0.230602E-03   0.180884E+01
    29   0.104429E+04   0.194719E-01   0.247288E-03   0.184542E+01
    30   0.106133E+04   0.219070E-01   0.264573E-03   0.187074E+01
    31   0.107816E+04   0.245522E-01   0.282457E-03   0.189549E+01
    32   0.109558E+04   0.274233E-01   0.300941E-03   0.191440E+01
    33   0.111307E+04   0.304797E-01   0.320025E-03   0.192550E+01
    34   0.113062E+04   0.337461E-01   0.339711E-03   0.192943E+01
    35   0.114881E+04   0.372283E-01   0.359998E-03   0.191690E+01
    36   0.116672E+04   0.409548E-01   0.380887E-03   0.189813E+01
    37   0.118489E+04   0.449546E-01   0.402379E-03   0.186748E+01
    38   0.120343E+04   0.492195E-01   0.424473E-03   0.182722E+01
    39   0.122224E+04   0.537381E-01   0.447169E-03   0.177754E+01
    40   0.124124E+04   0.585008E-01   0.470467E-03   0.171706E+01
    41   0.126033E+04   0.635024E-01   0.494367E-03   0.164485E+01
    42   0.127953E+04   0.687558E-01   0.518869E-03   0.156167E+01
    43   0.129885E+04   0.742777E-01   0.543971E-03   0.146832E+01
    44   0.131833E+04   0.800831E-01   0.569674E-03   0.136395E+01
    45   0.133806E+04   0.861837E-01   0.595976E-03   0.124745E+01
    46   0.135799E+04   0.925870E-01   0.622877E-03   0.111821E+01
    47   0.137811E+04   0.992933E-01   0.650376E-03   0.975824E+00
    48   0.139839E+04   0.106295E+00   0.678472E-03   0.819918E+00
    49   0.141882E+04   0.113582E+00   0.707165E-03   0.650201E+00
    50   0.143945E+04   0.121157E+00   0.736452E-03   0.466514E+00
    51   0.146034E+04   0.129025E+00   0.766334E-03   0.268956E+00
    52   0.148144E+04   0.137188E+00   0.796809E-03   0.584394E-01
    53   0.150267E+04   0.145649E+00   0.827877E-03  -0.164130E+00
    54   0.152402E+04   0.154409E+00   0.859535E-03  -0.398705E+00
    55   0.154548E+04   0.163472E+00   0.891785E-03  -0.645609E+00
    56   0.156716E+04   0.172833E+00   0.924624E-03  -0.905789E+00
    57   0.158916E+04   0.182491E+00   0.958052E-03  -0.118013E+01
    58   0.161145E+04   0.192443E+00   0.992068E-03  -0.146883E+01
    59   0.163393E+04   0.202689E+00   0.102667E-02  -0.177178E+01
    60   0.165658E+04   0.213222E+00   0.106186E-02  -0.208847E+01
