#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.923982E+03   0.321802E-01   0.000000E+00   0.266591E+01   0.524216E-07   0.258648E-02  -0.126419E-04
     3   0.897205E+03   0.405748E-01   0.000000E+00   0.298675E+01   0.635963E-07   0.257743E-02  -0.133797E-04
     4   0.862619E+03   0.343972E-01   0.000000E+00   0.277995E+01   0.730902E-07   0.250747E-02  -0.111162E-04
     5   0.835436E+03   0.224096E-01   0.000000E+00   0.234318E+01   0.812951E-07   0.241574E-02  -0.735500E-05
     6   0.817130E+03   0.122923E-01   0.000000E+00   0.186629E+01   0.884291E-07   0.231947E-02  -0.334321E-05
     7   0.806357E+03   0.664289E-02   0.000000E+00   0.145188E+01   0.946883E-07   0.222701E-02  -0.768267E-08
     8   0.800961E+03   0.436856E-02   0.000000E+00   0.114167E+01   0.100210E-06   0.213783E-02   0.209382E-05
     9   0.799996E+03   0.352157E-02   0.000000E+00   0.938308E+00   0.105109E-06   0.205008E-02   0.281236E-05
    10   0.802256E+03   0.296340E-02   0.000000E+00   0.829834E+00   0.109459E-06   0.196549E-02   0.240490E-05
    11   0.806483E+03   0.247538E-02   0.000000E+00   0.795138E+00   0.113357E-06   0.188821E-02   0.137673E-05
    12   0.813593E+03   0.218410E-02   0.000000E+00   0.813137E+00   0.116808E-06   0.181756E-02   0.217156E-06
    13   0.821771E+03   0.212562E-02   0.000000E+00   0.859156E+00   0.119918E-06   0.175599E-02  -0.756375E-06
    14   0.830895E+03   0.221697E-02   0.000000E+00   0.912988E+00   0.122676E-06   0.169622E-02  -0.137630E-05
    15   0.839955E+03   0.238857E-02   0.000000E+00   0.968669E+00   0.125159E-06   0.163859E-02  -0.154808E-05
    16   0.850761E+03   0.264522E-02   0.000000E+00   0.102819E+01   0.127370E-06   0.158072E-02  -0.125136E-05
    17   0.863198E+03   0.303116E-02   0.000000E+00   0.109004E+01   0.129338E-06   0.152448E-02  -0.699481E-06
    18   0.876154E+03   0.358461E-02   0.000000E+00   0.115400E+01   0.131099E-06   0.147247E-02  -0.151213E-06
