a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
1.000000000000001458e-10,-1.000000000653255672e+00,7.679903586677724838e-37,2.559968007545036395e-37,-1.279984003772518198e-37
9.739868227612077189e-09,-1.000000048837272004e+00,6.911174611094405044e-29,2.303737539036397980e-29,-1.151868769518198990e-29
5.517663805812442863e-08,-1.000000244932592874e+00,7.116787339378674011e-26,2.372336190378386311e-26,-1.186168095189193155e-26
1.644269457124689055e-07,-1.000000670372733325e+00,5.610106653017745560e-24,1.870208510212975371e-24,-9.351042551064876857e-25
3.655074274115773646e-07,-1.000001393400260952e+00,1.368754934403284283e-22,4.563453092886747827e-23,-2.281726546443373913e-23
6.864347193763811599e-07,-1.000002473512668466e+00,1.700585291840899808e-21,5.670799608428805041e-22,-2.835399804214402521e-22
1.155225457827812803e-06,-1.000003963646729055e+00,1.361700578310289351e-20,4.541936728092031171e-21,-2.270968364046015585e-21
1.799896278986803933e-06,-1.000005911512892753e+00,8.004324495160659516e-20,2.670789887921709190e-20,-1.335394943960854595e-20
2.648463819074286348e-06,-1.000008360510997063e+00,3.740188039009899788e-19,1.248568130417779604e-19,-6.242840652088898022e-20
3.728944714311192055e-06,-1.000011350408379407e+00,1.463735068988695531e-18,4.889215122505152357e-19,-2.444607561252576178e-19
5.069355600918452217e-06,-1.000014917870106546e+00,4.974029243302388959e-18,1.662656267914541009e-18,-8.313281339572705043e-19
6.697713115116999479e-06,-1.000019096890573111e+00,1.506327583144218445e-17,5.039595984751556135e-18,-2.519797992375778068e-18
8.642033893127765214e-06,-1.000023919155363705e+00,4.144698657751165399e-17,1.388099577335477146e-17,-6.940497886677385728e-18
1.093033457117168122e-05,-1.000029414351071511e+00,1.051583836376534986e-16,3.526111705100536461e-17,-1.763055852550268230e-17
1.359063178546967929e-05,-1.000035610434158784e+00,2.488760843065067853e-16,8.356726507573048124e-17,-4.178363253786524062e-17
1.665094217224269123e-05,-1.000042533865884042e+00,5.544976442472552843e-16,1.864800620016138897e-16,-9.324003100080694487e-17
2.013928236771165222e-05,-1.000050209817746394e+00,1.171713215021214516e-15,3.947427431785792650e-16,-1.973713715892896325e-16
2.408366900809748897e-05,-1.000058662350291394e+00,2.362640599537045500e-15,7.975021007446312082e-16,-3.987510503723156041e-16
2.851211872962113329e-05,-1.000067914567140726e+00,4.569109938219816859e-15,1.545568353041987958e-15,-7.727841765209939789e-16
3.345264816850352036e-05,-1.000077988745574853e+00,8.510904554566046312e-15,2.885591272820828335e-15,-1.442795636410414167e-15
3.893327396096556842e-05,-1.000088906444792425e+00,1.532513016902827854e-14,5.208874202278805184e-15,-2.604437101139402592e-15
4.498201274322824992e-05,-1.000100688592969966e+00,2.675884240157160137e-14,9.119329917126997606e-15,-4.559664958563498803e-15
5.162688115151243569e-05,-1.000113355554410166e+00,4.542905148643559256e-14,1.552590284290016546e-14,-7.762951421450082730e-15
5.889589582203911850e-05,-1.000126927178294878e+00,7.516618447994853054e-14,2.576561938741620452e-14,-1.288280969370810226e-14
6.681707339102918271e-05,-1.000141422830832516e+00,1.214589690718755501e-13,4.176426127266243841e-14,-2.088213063633121920e-14
7.541843049470359401e-05,-1.000156861412824894e+00,1.920204747195552229e-13,6.624246775534681972e-14,-3.312123387767340986e-14
8.472798376928324354e-05,-1.000173261364877275e+00,2.974966907080129086e-13,1.029758483473673106e-13,-5.148792417368365532e-14
9.477374985098913085e-05,-1.000190640662582675e+00,4.523405418334461790e-13,1.571184210044524483e-13,-7.855921050222622417e-14
1.055837453760421064e-04,-1.000209016804036066e+00,6.758756644823032637e-13,2.355993812476433350e-13,-1.177996906238216675e-13
1.171859869806631834e-04,-1.000228406791960900e+00,9.935756274962977947e-13,3.476038610809488504e-13,-1.738019305404744252e-13
1.296084913010731986e-04,-1.000248827112576899e+00,1.438585631063900250e-12,5.051489638428590925e-13,-2.525744819214295462e-13
1.428792749734931924e-04,-1.000270293713110048e+00,2.053515103508470732e-12,7.237669769029145855e-13,-3.618834884514572927e-13
1.570263546341439881e-04,-1.000292821979567259e+00,2.892531087793692149e-12,1.023308284852235481e-12,-5.116541424261177404e-13
1.720777469192465582e-04,-1.000316426716094442e+00,4.023783906715630871e-12,1.428877148059828120e-12,-7.144385740299140598e-13
1.880614684650219292e-04,-1.000341122126918947e+00,5.532198347330811000e-12,1.971914190215133745e-12,-9.859570951075668724e-13
2.050055359076908570e-04,-1.000366921801571829e+00,7.522665528600012947e-12,2.691440166181200288e-12,-1.345720083090600144e-12
2.229379658834744493e-04,-1.000393838703803606e+00,1.012367271755734810e-11,3.635476367301977826e-12,-1.817738183650988913e-12
