#           k/h    P           
   0.100000E-03   0.409463E+03
   0.102020E-03   0.417456E+03
   0.104081E-03   0.425606E+03
   0.106184E-03   0.433916E+03
   0.108329E-03   0.442388E+03
   0.110517E-03   0.451027E+03
   0.112750E-03   0.459835E+03
   0.115027E-03   0.468816E+03
   0.117351E-03   0.477973E+03
   0.119722E-03   0.487310E+03
   0.122140E-03   0.496831E+03
   0.124608E-03   0.506538E+03
   0.127125E-03   0.516436E+03
   0.129693E-03   0.526529E+03
   0.132313E-03   0.536820E+03
   0.134986E-03   0.547313E+03
   0.137713E-03   0.558013E+03
   0.140495E-03   0.568924E+03
   0.143333E-03   0.580049E+03
   0.146228E-03   0.591393E+03
   0.149182E-03   0.602961E+03
   0.152196E-03   0.614757E+03
   0.155271E-03   0.626786E+03
   0.158407E-03   0.639052E+03
   0.161607E-03   0.651560E+03
   0.164872E-03   0.664315E+03
   0.168203E-03   0.677321E+03
   0.171601E-03   0.690586E+03
   0.175067E-03   0.704112E+03
   0.178604E-03   0.717906E+03
   0.182212E-03   0.731973E+03
   0.185893E-03   0.746319E+03
   0.189648E-03   0.760949E+03
   0.193479E-03   0.775869E+03
   0.197388E-03   0.791085E+03
   0.201375E-03   0.806604E+03
   0.205443E-03   0.822430E+03
   0.209594E-03   0.838572E+03
   0.213828E-03   0.855034E+03
   0.218147E-03   0.871824E+03
   0.222554E-03   0.888949E+03
   0.227050E-03   0.906415E+03
   0.231637E-03   0.924230E+03
   0.236316E-03   0.942400E+03
   0.241090E-03   0.960933E+03
   0.245960E-03   0.979837E+03
   0.250929E-03   0.999119E+03
   0.255998E-03   0.101879E+04
   0.261170E-03   0.103885E+04
   0.266446E-03   0.105931E+04
   0.271828E-03   0.108019E+04
   0.277319E-03   0.110149E+04
   0.282922E-03   0.112321E+04
   0.288637E-03   0.114537E+04
   0.294468E-03   0.116798E+04
   0.300417E-03   0.119104E+04
   0.306485E-03   0.121457E+04
   0.312677E-03   0.123857E+04
   0.318993E-03   0.126306E+04
   0.325437E-03   0.128804E+04
   0.332012E-03   0.131353E+04
   0.338719E-03   0.133954E+04
   0.345561E-03   0.136607E+04
   0.352542E-03   0.139314E+04
   0.359664E-03   0.142077E+04
   0.366930E-03   0.144895E+04
   0.374342E-03   0.147770E+04
   0.381904E-03   0.150704E+04
   0.389619E-03   0.153698E+04
   0.397490E-03   0.156753E+04
   0.405520E-03   0.159870E+04
   0.413712E-03   0.163051E+04
   0.422070E-03   0.166296E+04
   0.430596E-03   0.169608E+04
   0.439295E-03   0.172987E+04
   0.448169E-03   0.176435E+04
   0.457222E-03   0.179953E+04
   0.466459E-03   0.183544E+04
   0.475882E-03   0.187207E+04
   0.485496E-03   0.190945E+04
   0.495303E-03   0.194760E+04
   0.505309E-03   0.198652E+04
