a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
9.999999999999982e-09,99999999.00000018,-18.420680743952367,9.999999999999982e-09,95311161466011.25,-190620704548638.72,3.999999999999993e-10,3.39599971048689e-05,0.9999660400028949,7.611103210728636e-29,-1.0000000040250914,2.537034403576212e-29,7.611060070617364e-29,7.611060070617364e-29,3.8055300353086814e-29,7.611060070617364e-29,3.805530035308682e-29,1.0,-5.074068899058585e-29,1.3963825516061072e-56,2.7927935494457206e-57,1.6709064755351444,1.0,1.0
1.008478553059125e-08,99159271.84388883,-18.412237931944723,1.008478553059125e-08,93715298127324.56,-187428991477685.0,4.0339142122365e-10,3.424791888115097e-05,0.9999657520811187,7.87252689355498e-29,-1.0000000040569479,2.6241756311849936e-29,7.872481893401044e-29,7.872481893401044e-29,3.936240946700522e-29,7.872481893401044e-29,3.936240946700522e-29,1.0,-5.24835135818528e-29,1.4939548043941432e-56,2.987940300736248e-57,1.670906484028354,1.0,1.0
1.0170289919802318e-08,98325612.90928738,-18.403795119937076,1.0170289919802318e-08,92146155588975.84,-184290719893014.4,4.0681159679209273e-10,3.4538281649572155e-05,0.9999654617183508,8.142929851633077e-29,-1.000000004089055,2.714309950544359e-29,8.142882911238521e-29,8.142882911238521e-29,4.0714414556192603e-29,8.142882911238521e-29,4.0714414556192603e-29,1.0,-5.42862000097938e-29,1.5983449109100771e-56,3.196722936772352e-57,1.6709064925934562,1.0,1.0
1.0256519262514065e-08,97498962.7717388,-18.395352307929432,1.0256519262514065e-08,90603286442555.84,-181204994978770.03,4.102607705005626e-10,3.483110610335423e-05,0.9999651688938969,8.422620500631788e-29,-1.0000000041214152,2.807540166877263e-29,8.422571536340835e-29,8.422571536340835e-29,4.2112857681704176e-29,8.422571536340835e-29,4.2112857681704176e-29,1.0,-5.615080437893878e-29,1.7100292674551397e-56,3.4200942641527604e-57,1.670906501231059,1.0,1.0
1.0343479705283247e-08,96679262.50638263,-18.38690949592179,1.0343479705283247e-08,89086250770989.56,-178170936901755.56,4.137391882113299e-10,3.5126413111119256e-05,0.9999648735868889,8.711917849490992e-29,-1.0000000041540302,2.9039726164969974e-29,8.711866774040955e-29,8.711866774040955e-29,4.3559333870204776e-29,8.711866774040955e-29,4.3559333870204776e-29,1.0,-5.807945341562699e-29,1.8295175583805222e-56,3.65907366668107e-57,1.670906509941776,1.0,1.0
1.0431177446780491e-08,95866453.68375604,-18.378466683914144,1.0431177446780491e-08,87594616023104.97,-175187680560572.66,4.1724709787121966e-10,3.542422371837537e-05,0.9999645757762815,9.011151864270652e-29,-1.000000004186902,3.003717288090217e-29,9.011098586636432e-29,9.011098586636432e-29,4.505549293318216e-29,9.011098586636432e-29,4.505549293318216e-29,1.0,-6.00743468936686e-29,1.95735508207538e-56,3.9147517574289676e-57,1.670906518726226,1.0,1.0
1.0519618738232224e-08,95060478.3656282,-18.370023871906497,1.0519618738232224e-08,86127956890298.19,-172254375338951.16,4.207847495292889e-10,3.572455914901593e-05,0.9999642754408505,9.320663844497732e-29,-1.0000000042200325,3.1068879481659105e-29,9.320608269729587e-29,9.320608269729587e-29,4.6603041348647934e-29,9.320608269729587e-29,4.6603041348647934e-29,1.0,-6.213776014332327e-29,2.0941252394821587e-56,4.188295355861025e-57,1.670906527585033,1.0,1.0
1.060880988386611e-08,94261279.10087174,-18.361581059898853,1.060880988386611e-08,84685855185267.47,-169370184863217.44,4.243523953546444e-10,3.602744080683064e-05,0.9999639725591927,9.640806812438739e-29,-1.0000000042534238,3.213602270812913e-29,9.640748841493068e-29,9.640748841493068e-29,4.820374420746534e-29,9.640748841493068e-29,4.820374420746534e-29,1.0,-6.427204664645138e-29,2.2404521964951443e-56,4.480952812733321e-57,1.670906536518827,1.0,1.0
1.0698757241360658e-08,93468798.92136553,-18.35313824789121,1.0698757241360658e-08,83267899722771.53,-166534286763810.94,4.2795028965442633e-10,3.6332890277030594e-05,0.9999636671097228,9.971945915743921e-29,-1.000000004287078,3.32398197191464e-29,9.971885445306767e-29,9.971885445306767e-29,4.985942722653384e-29,9.971885445306767e-29,4.985942722653384e-29,1.0,-6.647964072080813e-29,2.397003732393076e-56,4.7940597070682424e-57,1.6709065455282421,1.0,1.0
1.078946722229825e-08,92682981.33793525,-18.344695435883565,1.078946722229825e-08,81873686202390.5,-163745872440806.03,4.3157868889193e-10,3.664092932778517e-05,0.9999633590706724,1.0314458843919804e-28,-1.0000000043209971,3.438152947973268e-29,1.031439576622272e-28,1.031439576622272e-28,5.15719788311136e-29,1.031439576622272e-28,5.15719788311136e-29,1.0,-6.876306029652785e-29,2.564494287303663e-56,5.129044941201737e-57,1.6709065546139181,1.0,1.0
