a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
9.999999999999982e-09,99999999.00000018,-18.420680743952367,9.999999999999982e-09,95311156220035.78,-190620699302574.34,9.749999999999982e-10,3.384991980321027e-05,0.9999661500801968,7.622112293781124e-29,-1.00000000981116,2.540704097927041e-29,7.622069142902616e-29,7.622069142902616e-29,3.811034571451308e-29,7.622069142902616e-29,3.811034571451308e-29,1.0,-5.081408420199378e-29,1.3984025546365986e-56,2.796833494585937e-57,1.6733231764552885,1.0,1.0
1.008478553059125e-08,99159271.84388883,-18.412237931944723,1.008478553059125e-08,93715292925454.19,-187428986275725.72,9.832665892326468e-10,3.413690834707291e-05,0.9999658630916529,7.883914121508119e-29,-1.0000000098888102,2.6279713738360397e-29,7.883869110174092e-29,7.883869110174092e-29,3.941934555087046e-29,7.883869110174092e-29,3.941934555087046e-29,1.0,-5.255942981559669e-29,1.4961159586409552e-56,2.99226254350562e-57,1.673323185219691,1.0,1.0
1.0170289919802318e-08,98325612.90928738,-18.403795119937076,1.0170289919802318e-08,92146150430839.78,-184290714734789.34,9.91603267180726e-10,3.442632997170085e-05,0.999965573670028,8.15470821322203e-29,-1.0000000099670718,2.71823607107401e-29,8.154661261218942e-29,8.154661261218942e-29,4.077330630609471e-29,8.154661261218942e-29,4.077330630609471e-29,1.0,-5.436472385983709e-29,1.6006570795776882e-56,3.201347203201093e-57,1.6733231940581224,1.0,1.0
1.0256519262514065e-08,97498962.7717388,-18.395352307929432,1.0256519262514065e-08,90603281327786.38,-181204989863911.6,1.0000106280951214e-09,3.471820530325742e-05,0.9999652817946967,8.434803430738119e-29,-1.0000000100459496,2.811601143579373e-29,8.434754454394028e-29,8.434754454394028e-29,4.217377227197014e-29,8.434754454394028e-29,4.217377227197014e-29,1.0,-5.62320254136558e-29,1.7125030029592907e-56,3.4250416586637474e-57,1.673323202971208,1.0,1.0
1.0343479705283247e-08,96679262.50638263,-18.38690949592179,1.0343479705283247e-08,89086245699222.1,-178170931829899.16,1.0084892712651167e-09,3.501255514273791e-05,0.9999649874448571,8.72451924446726e-29,-1.0000000101254487,2.908173081489087e-29,8.724468156502724e-29,8.724468156502724e-29,4.362234078251362e-29,8.724468156502724e-29,4.362234078251362e-29,1.0,-5.816346427997185e-29,1.8321641505083422e-56,3.664366768407735e-57,1.673323211959577,1.0,1.0
1.0431177446780491e-08,95866453.68375604,-18.378466683914144,1.0431177446780491e-08,87594610993977.97,-175187675531356.7,1.017039801061098e-09,3.5309400467450654e-05,0.9999646905995323,9.024186097791466e-29,-1.0000000102055735,3.008062032597155e-29,9.024132807164005e-29,9.024132807164005e-29,4.5120664035820023e-29,9.024132807164005e-29,4.5120664035820023e-29,1.0,-6.016124341485295e-29,1.9601866095108303e-56,3.920414723263651e-57,1.673323221023866,1.0,1.0
1.0519618738232224e-08,95060478.3656282,-18.370023871906497,1.0519618738232224e-08,86127951903453.16,-172254370352017.22,1.0256628269776418e-09,3.560876243251132e-05,0.9999643912375672,9.33414578395524e-29,-1.0000000102863291,3.11138192798508e-29,9.334090195697092e-29,9.334090195697092e-29,4.667045097848546e-29,9.334090195697092e-29,4.667045097848546e-29,1.0,-6.222764144012439e-29,2.097154624931939e-56,4.1943540307040466e-57,1.673323230164717,1.0,1.0
1.060880988386611e-08,94261279.10087174,-18.361581059898853,1.060880988386611e-08,84685850240348.94,-169370179918210.03,1.0343589636769457e-09,3.5910662372349074e-05,0.9999640893376276,9.654751835901286e-29,-1.0000000103677205,3.218250611967095e-29,9.654693850950175e-29,9.654693850950175e-29,4.8273469254750876e-29,9.654693850950175e-29,4.8273469254750876e-29,1.0,-6.436501524227499e-29,2.2436932656666444e-56,4.487434847445923e-57,1.6733232393827748,1.0,1.0
1.0698757241360658e-08,93468798.92136553,-18.35313824789121,1.0698757241360658e-08,83267894819427.03,-166534281860377.5,1.0431288310326641e-09,3.6215121802226763e-05,0.9999637848781977,9.98636992949725e-29,-1.0000000104497524,3.3287899764990834e-29,9.986309444519834e-29,9.986309444519834e-29,4.993154722259917e-29,9.986309444519834e-29,4.993154722259917e-29,1.0,-6.657580266063451e-29,2.4004712770935617e-56,4.800994684667783e-57,1.673323248678694,1.0,1.0
1.078946722229825e-08,92682981.33793525,-18.344695435883565,1.078946722229825e-08,81873681340270.5,-163745867578597.12,1.0519730541740793e-09,3.6522162419772815e-05,0.9999634778375803,1.0329378300610757e-28,-1.0000000105324303,3.443126100203586e-29,1.0329315207818513e-28,1.0329315207818513e-28,5.164657603909257e-29,1.0329315207818513e-28,5.164657603909257e-29,1.0,-6.886252526787543e-29,2.568204132948676e-56,5.136464511875028e-57,1.6733232580531294,1.0,1.0
1.0880946292622255e-08,91903770.33632602,-18.336252623875918,1.0880946292622255e-08,80502812272004.16,-161004142012022.03,1.0608922635306699e-09,3.683180610652673e-05,0.9999631681938936,1.0684168176510587e-28,-1.000000010615759,3.561389392170196e-29,1.0684102363467703e-28,1.0684102363467703e-28,5.342051181733851e-29,1.0684102363467703e-28,5.342051181733851e-29,1.0,-7.122779124602048e-29,2.7476573004472243e-56,5.495375287271019e-57,1.6733232675067464,1.0,1.0
1.097320097309776e-08,91131110.37321107,-18.327809811868274,1.097320097309776e-08,79154896739948.81,-158308323412189.78,1.0698870948770316e-09,3.714407492949695e-05,0.99996285592507,1.1051144222084195e-28,-1.0000000106997433,3.6837147406947315e-29,1.1051075571507204e-28,1.1051075571507204e-28,5.525537785753602e-29,1.1051075571507204e-28,5.525537785753602e-29,1.0,-7.367429836122681e-29,2.939649733553431e-56,5.879364944433858e-57,1.6733232770402122,1.0,1.0
1.1066237839776632e-08,90364946.37223041,-18.31936699986063,1.1066237839776632e-08,77829550414167.1,-155657643120114.44,1.0789581893782215e-09,3.745899114273337e-05,0.9999625410088575,1.1430725001383173e-28,-1.000000010784389,3.810241667127724e-29,1.1430653390931983e-28,1.1430653390931983e-28,5.715326695465991e-29,1.1430653390931983e-28,5.715326695465991e-29,1.0,-7.620483704075613e-29,3.1450576103411013e-56,6.290185867185717e-57,1.673323286654202,1.0,1.0
1.1160063524466134e-08,89605223.72006603,-18.310924187852983,1.1160063524466134e-08,76526395399881.56,-153051345347121.75,1.0881061936354481e-09,3.777657718891149e-05,0.9999622234228113,1.1823343455019783e-28,-1.0000000108697005,3.9411144850065944e-29,1.1823268757079601e-28,1.1823268757079601e-28,5.911634378539801e-29,1.1823268757079601e-28,5.911634378539801e-29,1.0,-7.882229355561785e-29,3.3648183314989597e-56,6.729712886763438e-57,1.673323296349396,1.0,1.0
1.1254684715201546e-08,88851888.26254983,-18.30248137584534,1.1254684715201546e-08,75245060129726.47,-150488686959353.9,1.0973317597321508e-09,3.809685570093075e-05,0.9999619031442989,1.2229447393960818e-28,-1.0000000109556837,4.076482464653606e-29,1.222936947541479e-28,1.222936947541479e-28,6.114684737707395e-29,1.222936947541479e-28,6.114684737707395e-29,1.0,-8.152965331253074e-29,3.5999347982290347e-56,7.199951837787702e-57,1.67332330612648,1.0,1.0
1.1350108156723125e-08,88104886.3008016,-18.294038563837695,1.1350108156723125e-08,73985179257799.47,-147968937265872.62,1.1066355452805047e-09,3.841984950352693e-05,0.9999615801504964,1.2649500010283153e-28,-1.0000000110423433,4.216500003427718e-29,1.2649418732275124e-28,1.2649418732275124e-28,6.324709366137562e-29,1.2649418732275124e-28,6.324709366137562e-29,1.0,-8.433000425895806e-29,3.851479989061008e-56,7.703048712077863e-57,1.6733233159861443,1.0,1.0
1.144634065095673e-08,87364164.58740248,-18.28559575183005,1.144634065095673e-08,72746393555492.56,-145491377810320.8,1.1160182134682812e-09,3.8745581614897136e-05,0.9999612544183852,1.308398040547053e-28,-1.000000011129685,4.36132680182351e-29,1.3083895623157598e-28,1.3083895623157598e-28,6.541947811578799e-29,1.3083895623157598e-28,6.541947811578799e-29,1.0,-8.722654040508773e-29,4.120601856467381e-56,8.241299452083076e-57,1.6733233259290883,1.0,1.0
1.1543389057498747e-08,86629670.3225988,-18.277152939822404,1.1543389057498747e-08,71528349809063.9,-143055302166066.34,1.125480433106128e-09,3.907407524833938e-05,0.9999609259247514,1.353338413685682e-28,-1.0000000112177139,4.51112804561894e-29,1.3533295699151197e-28,1.3533295699151197e-28,6.766647849575599e-29,1.3533295699151197e-28,6.766647849575599e-29,1.0,-9.022256546678775e-29,4.408528565626829e-56,8.817160428625652e-57,1.673323335956014,1.0,1.0
1.1641260294104894e-08,85901351.15053971,-18.26871012781476,1.1641260294104894e-08,70330700718927.78,-140660015734782.67,1.1350228786752271e-09,3.940535381390523e-05,0.9999605946461861,1.3998223782836803e-28,-1.0000000113064356,4.666074594278934e-29,1.3998131532136618e-28,1.3998131532136618e-28,6.999065766068309e-29,1.3998131532136618e-28,6.999065766068309e-29,1.0,-9.33214966336791e-29,4.7165740992417095e-56,9.43325965076974e-57,1.6733233460676316,1.0,1.0
1.1739961337183567e-08,85179155.1555433,-18.260267315807116,1.1739961337183567e-08,69153104800625.984,-138304835548390.61,1.1446462303753979e-09,3.973944092006765e-05,0.9999602605590798,1.4479029527492028e-28,-1.0000000113958551,4.826343175830676e-29,1.4478933299400428e-28,1.4478933299400428e-28,7.239466649700214e-29,1.4478933299400428e-28,7.239466649700214e-29,1.0,-9.652686846664127e-29,5.046144253989232e-56,1.0092408758975974e-56,1.6733233562646554,1.0,1.0
1.1839499222293018e-08,84463030.85839686,-18.25182450379947,1.1839499222293018e-08,67995226287461.484,-135989090074326.69,1.1543511741735692e-09,4.007636037540196e-05,0.9999599236396245,1.497634976529526e-28,-1.0000000114859784,4.9921165884317534e-29,1.4976249388327483e-28,1.4976249388327483e-28,7.48812469416374e-29,1.4976249388327483e-28,7.488124694163742e-29,1.0,-9.984233692917597e-29,5.398743055969336e-56,1.0797615856269242e-56,1.6733233665478073,1.0,1.0
1.1939881044642719e-08,83752927.21268834,-18.243381691791825,1.1939881044642719e-08,66856735034762.766,-133712119024071.33,1.1641384018526651e-09,4.041613619028085e-05,0.9999595838638097,1.5490751726584343e-28,-1.0000000115768106,5.163583908861448e-29,1.5490647021862101e-28,1.5490647021862101e-28,7.745323510931051e-29,1.5490647021862101e-28,7.745323510931051e-29,1.0,-1.0327168355723409e-28,5.77597962442684e-56,1.1552099235976602e-56,1.6733233769178142,1.0,1.0
1.2041113959599386e-08,83048793.60116583,-18.23493887978418,1.2041113959599386e-08,65737306425746.39,-131473273164874.11,1.1740086110609402e-09,4.075879257858512e-05,0.9999592412074212,1.6022822124521286e-28,-1.0000000116683574,5.340940708173762e-29,1.6022712905454007e-28,1.6022712905454007e-28,8.011356452727004e-29,1.6022712905454007e-28,8.011356452727004e-29,1.0,-1.0681881977227569e-28,6.179575515072471e-56,1.2359302068686124e-56,1.6733233873754103,1.0,1.0
1.214320518319684e-08,82350579.8321307,-18.226496067776537,1.214320518319684e-08,64636621278960.89,-129271914134641.9,1.183962505361692e-09,4.110435395942742e-05,0.9999588956460407,1.6573167824270127e-28,-1.0000000117606243,5.524389274756709e-29,1.657305389622245e-28,1.657305389622245e-28,8.286526948111225e-29,1.657305389622245e-28,8.286526948111225e-29,1.0,-1.104877913424582e-28,6.611372576511175e-56,1.3222908115445217e-56,1.6733233979213358,1.0,1.0
1.2246161992650482e-08,81658236.13585928,-18.21805325576889,1.2246161992650482e-08,63554365757277.45,-127107414259919.78,1.194000794283422e-09,4.145284495889146e-05,0.9999585471550408,1.714241653516033e-28,-1.000000011853617,5.714138845053443e-29,1.7142297695105242e-28,1.7142297695105242e-28,8.571148847552621e-29,1.7142297695105242e-28,8.571148847552621e-29,1.0,-1.1428278299705796e-28,7.073341355633077e-56,1.4146858538911394e-56,1.6733234085563353,1.0,1.0
1.234999172687583e-08,80971713.16105632,-18.209610443761246,1.234999172687583e-08,62490231278407.08,-124979156376926.0,1.2041241933703933e-09,4.180429041178519e-05,0.999958195709588,1.7731217526622489e-28,-1.0000000119473411,5.910405842207497e-29,1.7731093562779533e-28,1.7731093562779533e-28,8.865546781389766e-29,1.7731093562779533e-28,8.865546781389766e-29,1.0,-1.182081231993769e-28,7.567590090323398e-56,1.513536988916985e-56,1.6733234192811621,1.0,1.0
1.2454701787011923e-08,80290961.97133547,-18.201167631753602,1.2454701787011923e-08,61443914426911.766,-122886533655573.94,1.2143334242336626e-09,4.215871536341004e-05,0.9999578412846365,1.8340242368716435e-28,-1.0000000120418027,6.113414122905478e-29,1.8340113060174327e-28,1.8340113060174327e-28,9.170056530087164e-29,1.8340113060174327e-28,9.170056530087164e-29,1.0,-1.2226828908359689e-28,8.096374330532445e-56,1.6192953346302785e-56,1.6733234300965738,1.0,1.0
1.2560299636948706e-08,79615934.04173215,-18.19272481974596,1.2560299636948706e-08,60415116867693.25,-120828949426449.84,1.2246292146024988e-09,4.2516145071343885e-05,0.9999574838549283,1.8970185698091932e-28,-1.000000012137007,6.32339523269731e-29,1.897005081441485e-28,1.897005081441485e-28,9.485025407207425e-29,1.897005081441485e-28,9.485025407207425e-29,1.0,-1.2646791156118467e-28,8.662107231608049e-56,1.7324435307517468e-56,1.673323441003337,1.0,1.0
1.2666792803859152e-08,78946581.25524406,-18.18428200773831,1.2666792803859152e-08,59403545260927.734,-118805817010682.34,1.2350122983762674e-09,4.287660500723997e-05,0.9999571233949925,1.9621766010259062e-28,-1.00000001223296,6.540588670086354e-29,1.9621625311076038e-28,1.9621625311076038e-28,9.810812655538019e-29,1.9621625311076038e-28,9.810812655538019e-29,1.0,-1.3081178060269557e-28,9.267370566867197e-56,1.8534979412789128e-56,1.673323452002222,1.0,1.0
