#           k/h    P           
   0.100000E-03   0.341342E+03
   0.102020E-03   0.348004E+03
   0.104081E-03   0.354796E+03
   0.106184E-03   0.361722E+03
   0.108329E-03   0.368783E+03
   0.110517E-03   0.375983E+03
   0.112750E-03   0.383324E+03
   0.115027E-03   0.390809E+03
   0.117351E-03   0.398441E+03
   0.119722E-03   0.406222E+03
   0.122140E-03   0.414156E+03
   0.124608E-03   0.422246E+03
   0.127125E-03   0.430494E+03
   0.129693E-03   0.438905E+03
   0.132313E-03   0.447480E+03
   0.134986E-03   0.456225E+03
   0.137713E-03   0.465141E+03
   0.140495E-03   0.474232E+03
   0.143333E-03   0.483502E+03
   0.146228E-03   0.492955E+03
   0.149182E-03   0.502593E+03
   0.152196E-03   0.512422E+03
   0.155271E-03   0.522444E+03
   0.158407E-03   0.532663E+03
   0.161607E-03   0.543084E+03
   0.164872E-03   0.553711E+03
   0.168203E-03   0.564547E+03
   0.171601E-03   0.575597E+03
   0.175067E-03   0.586865E+03
   0.178604E-03   0.598356E+03
   0.182212E-03   0.610074E+03
   0.185893E-03   0.622023E+03
   0.189648E-03   0.634210E+03
   0.193479E-03   0.646637E+03
   0.197388E-03   0.659311E+03
   0.201375E-03   0.672236E+03
   0.205443E-03   0.685417E+03
   0.209594E-03   0.698860E+03
   0.213828E-03   0.712570E+03
   0.218147E-03   0.726552E+03
   0.222554E-03   0.740813E+03
   0.227050E-03   0.755357E+03
   0.231637E-03   0.770191E+03
   0.236316E-03   0.785320E+03
   0.241090E-03   0.800751E+03
   0.245960E-03   0.816490E+03
   0.250929E-03   0.832543E+03
   0.255998E-03   0.848917E+03
   0.261170E-03   0.865618E+03
   0.266446E-03   0.882654E+03
   0.271828E-03   0.900031E+03
   0.277319E-03   0.917757E+03
   0.282922E-03   0.935838E+03
   0.288637E-03   0.954282E+03
   0.294468E-03   0.973097E+03
   0.300417E-03   0.992290E+03
   0.306485E-03   0.101187E+04
   0.312677E-03   0.103184E+04
   0.318993E-03   0.105222E+04
   0.325437E-03   0.107301E+04
   0.332012E-03   0.109422E+04
   0.338719E-03   0.111586E+04
   0.345561E-03   0.113793E+04
   0.352542E-03   0.116045E+04
   0.359664E-03   0.118343E+04
   0.366930E-03   0.120688E+04
   0.374342E-03   0.123080E+04
   0.381904E-03   0.125521E+04
   0.389619E-03   0.128011E+04
   0.397490E-03   0.130552E+04
