#           k/h    P           
   0.100000E-03   0.315836E+03
   0.102020E-03   0.321998E+03
   0.104081E-03   0.328281E+03
   0.106184E-03   0.334687E+03
   0.108329E-03   0.341218E+03
   0.110517E-03   0.347876E+03
   0.112750E-03   0.354665E+03
   0.115027E-03   0.361587E+03
   0.117351E-03   0.368645E+03
   0.119722E-03   0.375841E+03
   0.122140E-03   0.383178E+03
   0.124608E-03   0.390658E+03
   0.127125E-03   0.398285E+03
   0.129693E-03   0.406062E+03
   0.132313E-03   0.413991E+03
   0.134986E-03   0.422076E+03
   0.137713E-03   0.430319E+03
   0.140495E-03   0.438724E+03
   0.143333E-03   0.447294E+03
   0.146228E-03   0.456032E+03
   0.149182E-03   0.464942E+03
   0.152196E-03   0.474027E+03
   0.155271E-03   0.483290E+03
   0.158407E-03   0.492736E+03
   0.161607E-03   0.502367E+03
   0.164872E-03   0.512187E+03
   0.168203E-03   0.522201E+03
   0.171601E-03   0.532412E+03
   0.175067E-03   0.542824E+03
   0.178604E-03   0.553441E+03
   0.182212E-03   0.564267E+03
   0.185893E-03   0.575307E+03
   0.189648E-03   0.586564E+03
   0.193479E-03   0.598044E+03
   0.197388E-03   0.609750E+03
   0.201375E-03   0.621687E+03
   0.205443E-03   0.633860E+03
   0.209594E-03   0.646274E+03
   0.213828E-03   0.658933E+03
   0.218147E-03   0.671843E+03
   0.222554E-03   0.685008E+03
   0.227050E-03   0.698434E+03
   0.231637E-03   0.712127E+03
   0.236316E-03   0.726090E+03
   0.241090E-03   0.740331E+03
   0.245960E-03   0.754854E+03
   0.250929E-03   0.769666E+03
   0.255998E-03   0.784772E+03
   0.261170E-03   0.800178E+03
   0.266446E-03   0.815891E+03
   0.271828E-03   0.831917E+03
   0.277319E-03   0.848262E+03
   0.282922E-03   0.864934E+03
   0.288637E-03   0.881937E+03
   0.294468E-03   0.899280E+03
   0.300417E-03   0.916970E+03
   0.306485E-03   0.935013E+03
   0.312677E-03   0.953417E+03
   0.318993E-03   0.972190E+03
   0.325437E-03   0.991338E+03
   0.332012E-03   0.101087E+04
   0.338719E-03   0.103080E+04
   0.345561E-03   0.105112E+04
   0.352542E-03   0.107185E+04
   0.359664E-03   0.109300E+04
   0.366930E-03   0.111457E+04
   0.374342E-03   0.113658E+04
   0.381904E-03   0.115903E+04
   0.389619E-03   0.118194E+04
   0.397490E-03   0.120530E+04
   0.405520E-03   0.122914E+04
   0.413712E-03   0.125346E+04
   0.422070E-03   0.127827E+04
   0.430596E-03   0.130357E+04
   0.439295E-03   0.132940E+04
   0.448169E-03   0.135574E+04
   0.457222E-03   0.138261E+04
   0.466459E-03   0.141003E+04
   0.475882E-03   0.143800E+04
   0.485496E-03   0.146654E+04
   0.495303E-03   0.149565E+04
   0.505309E-03   0.152536E+04
   0.515517E-03   0.155566E+04
   0.525931E-03   0.158658E+04
   0.536556E-03   0.161811E+04
   0.547395E-03   0.165029E+04
   0.558453E-03   0.168312E+04
   0.569734E-03   0.171660E+04
   0.581244E-03   0.175076E+04
   0.592986E-03   0.178561E+04
   0.604965E-03   0.182115E+04
   0.617186E-03   0.185741E+04
   0.629654E-03   0.189440E+04
   0.642374E-03   0.193212E+04
   0.655350E-03   0.197059E+04
   0.668589E-03   0.200983E+04
   0.682096E-03   0.204985E+04
   0.695875E-03   0.209067E+04
   0.709933E-03   0.213228E+04
   0.724274E-03   0.217472E+04
   0.738906E-03   0.221798E+04
   0.753832E-03   0.226210E+04
   0.769061E-03   0.230707E+04
   0.784597E-03   0.235291E+04
   0.800447E-03   0.239964E+04
   0.816617E-03   0.244727E+04
   0.833114E-03   0.249580E+04
   0.849944E-03   0.254527E+04
   0.867114E-03   0.259566E+04
   0.884631E-03   0.264701E+04
   0.902501E-03   0.269932E+04
   0.920733E-03   0.275260E+04
   0.939333E-03   0.280687E+04
   0.958309E-03   0.286214E+04
   0.977668E-03   0.291842E+04
   0.997418E-03   0.297572E+04
   0.101757E-02   0.303406E+04
   0.103812E-02   0.309344E+04
   0.105910E-02   0.315388E+04
   0.108049E-02   0.321539E+04
   0.110232E-02   0.327798E+04
   0.112459E-02   0.334167E+04
   0.114730E-02   0.340645E+04
   0.117048E-02   0.347236E+04
   0.119413E-02   0.353940E+04
   0.121825E-02   0.360757E+04
   0.124286E-02   0.367690E+04
   0.126797E-02   0.374739E+04
   0.129358E-02   0.381907E+04
   0.131971E-02   0.389193E+04
   0.134637E-02   0.396600E+04
   0.137357E-02   0.404128E+04
   0.140132E-02   0.411779E+04
   0.142963E-02   0.419555E+04
   0.145851E-02   0.427456E+04
   0.148797E-02   0.435485E+04
   0.151803E-02   0.443642E+04
   0.154870E-02   0.451929E+04
   0.157998E-02   0.460347E+04
   0.161190E-02   0.468898E+04
   0.164446E-02   0.477582E+04
   0.167768E-02   0.486402E+04
   0.171158E-02   0.495359E+04
   0.174615E-02   0.504454E+04
   0.178143E-02   0.513687E+04
   0.181741E-02   0.523062E+04
   0.185413E-02   0.532578E+04
   0.189158E-02   0.542237E+04
   0.192980E-02   0.552039E+04
   0.196878E-02   0.561987E+04
   0.200855E-02   0.572082E+04
   0.204913E-02   0.582323E+04
   0.209052E-02   0.592713E+04
   0.213276E-02   0.603251E+04
   0.217584E-02   0.613940E+04
   0.221979E-02   0.624779E+04
   0.226464E-02   0.635771E+04
   0.231039E-02   0.646914E+04
   0.235706E-02   0.658210E+04
   0.240467E-02   0.669660E+04
   0.245325E-02   0.681264E+04
   0.250281E-02   0.693023E+04
   0.255337E-02   0.704937E+04
   0.260495E-02   0.717006E+04
   0.265758E-02   0.729230E+04
   0.271126E-02   0.741610E+04
   0.276603E-02   0.754146E+04
   0.282191E-02   0.766836E+04
   0.287892E-02   0.779683E+04
   0.293708E-02   0.792684E+04
   0.299641E-02   0.805840E+04
   0.305694E-02   0.819150E+04
   0.311870E-02   0.832613E+04
   0.318170E-02   0.846229E+04
   0.324597E-02   0.859997E+04
   0.331155E-02   0.873916E+04
   0.337844E-02   0.887984E+04
   0.344669E-02   0.902200E+04
   0.351632E-02   0.916563E+04
   0.358735E-02   0.931071E+04
   0.365982E-02   0.945722E+04
   0.373376E-02   0.960515E+04
   0.380918E-02   0.975447E+04
   0.388613E-02   0.990515E+04
   0.396464E-02   0.100572E+05
   0.404473E-02   0.102105E+05
   0.412644E-02   0.103651E+05
   0.420980E-02   0.105210E+05
   0.429484E-02   0.106781E+05
   0.438160E-02   0.108364E+05
   0.447012E-02   0.109959E+05
   0.456042E-02   0.111564E+05
   0.465255E-02   0.113181E+05
   0.474653E-02   0.114807E+05
   0.484242E-02   0.116443E+05
   0.494024E-02   0.118089E+05
   0.504004E-02   0.119743E+05
   0.514186E-02   0.121406E+05
   0.524573E-02   0.123076E+05
   0.535170E-02   0.124753E+05
   0.545981E-02   0.126436E+05
   0.557011E-02   0.128126E+05
   0.568263E-02   0.129820E+05
   0.579743E-02   0.131519E+05
   0.591455E-02   0.133221E+05
   0.603403E-02   0.134926E+05
   0.615592E-02   0.136633E+05
   0.628028E-02   0.138342E+05
   0.640715E-02   0.140050E+05
   0.653658E-02   0.141758E+05
   0.666863E-02   0.143464E+05
   0.680335E-02   0.145168E+05
   0.694078E-02   0.146868E+05
   0.708100E-02   0.148564E+05
   0.722404E-02   0.150253E+05
   0.736998E-02   0.151936E+05
   0.751886E-02   0.153611E+05
   0.767075E-02   0.155276E+05
   0.782571E-02   0.156931E+05
   0.798380E-02   0.158575E+05
   0.814509E-02   0.160205E+05
   0.830963E-02   0.161820E+05
   0.847750E-02   0.163420E+05
   0.864875E-02   0.165002E+05
   0.882347E-02   0.166566E+05
   0.900171E-02   0.168109E+05
   0.918356E-02   0.169630E+05
   0.936908E-02   0.171128E+05
   0.955835E-02   0.172600E+05
   0.975144E-02   0.174046E+05
   0.994843E-02   0.175463E+05
   0.101494E-01   0.176850E+05
   0.103544E-01   0.178204E+05
   0.105636E-01   0.179524E+05
   0.107770E-01   0.180809E+05
   0.109947E-01   0.182055E+05
   0.112168E-01   0.183262E+05
   0.114434E-01   0.184427E+05
   0.116746E-01   0.185548E+05
   0.119104E-01   0.186623E+05
   0.121510E-01   0.187650E+05
   0.123965E-01   0.188628E+05
   0.126469E-01   0.189553E+05
   0.129024E-01   0.190424E+05
