a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
9.999999999999982e-09,99999999.00000018,-18.420680743952367,9.999999999999982e-09,95311128801612.5,-190620671883690.94,4.9742187499999916e-09,3.3274593511916195e-05,0.9999667254064878,7.67965224618956e-29,-1.0000000500542108,-4.518535047109375e-05,4.518051527736973e-05,4.518357785121552e-05,2.2590768142300854e-05,4.518357785121552e-05,2.2590768142300854e-05,1.0,9.037274265800711e-05,-4.9741952344234044e-33,-4.974053234893018e-33,3.078612967436709e+23,1.0,1.0
1.008478553059125e-08,99159271.84388883,-18.412237931944723,1.008478553059125e-08,93715265737548.88,-187428959087360.34,5.01639292759957e-09,3.355670445149678e-05,0.9999664432955488,7.943430484316059e-29,-1.0000000504503637,-4.518535047109375e-05,4.518050890380139e-05,4.518357147764718e-05,2.2590764955660676e-05,4.518357147764718e-05,2.2590764955660676e-05,1.0,9.037274265797088e-05,-5.145046568494211e-33,-5.144900417330038e-33,2.9763813227687055e+23,1.0,1.0
1.0170289919802318e-08,98325612.90928738,-18.403795119937076,1.0170289919802318e-08,92146123471514.44,-184290687775003.94,5.058924681201669e-09,3.384120712243869e-05,0.9999661587928778,8.216268873396172e-29,-1.0000000508496358,-4.518535047109375e-05,4.5180502475165986e-05,4.5183565049011776e-05,2.259076174148821e-05,4.5183565049011776e-05,2.259076174148821e-05,1.0,9.037274265845034e-05,-5.321766205337128e-33,-5.3216157911705745e-33,2.87754449714301e+23,1.0,1.0
1.0256519262514065e-08,97498962.7717388,-18.395352307929432,1.0256519262514065e-08,90603254595119.28,-181204963130784.4,5.1018170425333636e-09,3.412812180041792e-05,0.9999658718781995,8.498478607079692e-29,-1.000000051252052,-4.518535047109375e-05,4.518049599368397e-05,4.518355856752976e-05,2.259075850089363e-05,4.518355856752976e-05,2.259075850089363e-05,1.0,9.037274265810627e-05,-5.5045557050360946e-33,-5.504400914181444e-33,2.7819897581494405e+23,1.0,1.0
1.0343479705283247e-08,96679262.50638263,-18.38690949592179,1.0343479705283247e-08,89086219191307.66,-178170905321524.62,5.14507306902644e-09,3.4417468932972395e-05,0.9999655825310669,8.790381567708193e-29,-1.0000000516576364,-4.518535047109375e-05,4.51804894566908e-05,4.518355203053659e-05,2.2590755232544728e-05,4.518355203053659e-05,2.2590755232544728e-05,1.0,9.037274265803995e-05,-5.6936235509714645e-33,-5.69346426711356e-33,2.6896081169598523e+23,1.0,1.0
1.0431177446780491e-08,95866453.68375604,-18.378466683914144,1.0431177446780491e-08,87594584708926.62,-175187649245845.3,5.188695844035264e-09,3.470926914095795e-05,0.9999652907308593,9.092310693441758e-29,-1.000000052066414,-4.518535047109375e-05,4.518048286418648e-05,4.518354543803227e-05,2.2590751936441507e-05,4.518354543803227e-05,2.2590751936441507e-05,1.0,9.037274265801849e-05,-5.8891853871625245e-33,-5.889021491487092e-33,2.6002942039351607e+23,1.0,1.0
1.0519618738232224e-08,95060478.3656282,-18.370023871906497,1.0519618738232224e-08,86127925839391.25,-172254344287495.22,5.232688477056607e-09,3.500354322001717e-05,0.99996499645678,9.404610357996093e-29,-1.00000005247841,-4.518535047109375e-05,4.518047621528283e-05,4.518353878912862e-05,2.259074861213989e-05,4.518353878912862e-05,2.259074861213989e-05,1.0,9.037274265825093e-05,-6.09146426442978e-33,-6.091295635544275e-33,2.513946148478401e+23,1.0,1.0
1.060880988386611e-08,94261279.10087174,-18.361581059898853,1.060880988386611e-08,84685824395418.56,-169370154072819.53,5.277054103951213e-09,3.530031214206012e-05,0.9999646996878578,9.727636763421743e-29,-1.0000000528936495,-4.518535047109375e-05,4.518046951042394e-05,4.518353208426973e-05,2.2590745259861922e-05,4.518353208426973e-05,2.2590745259861922e-05,1.0,9.037274265827843e-05,-6.300690894648165e-33,-6.300517408649485e-33,2.430465462820235e+23,1.0,1.0
1.0698757241360658e-08,93468798.92136553,-18.35313824789121,1.0698757241360658e-08,83267869191785.88,-166534256232276.22,5.321795887167446e-09,3.5599597056758637e-05,0.9999644004029431,1.0061758346375422e-28,-1.0000000533121576,-4.518535047109375e-05,4.518046274872163e-05,4.518352532256742e-05,2.259074187916353e-05,4.518352532256742e-05,2.259074187916353e-05,1.0,9.037274265830613e-05,-6.517103914060246e-33,-6.516925444428049e-33,2.3497569297090134e+23,1.0,1.0
1.078946722229825e-08,92682981.33793525,-18.344695435883565,1.078946722229825e-08,81873655928091.75,-163745842165958.25,5.3669170159666374e-09,3.590141929305221e-05,0.999964098580707,1.040735619834425e-28,-1.0000000537339602,-4.518535047109375e-05,4.51804559301759e-05,4.518351850402169e-05,2.259073847004471e-05,4.518351850402169e-05,2.259073847004471e-05,1.0,9.037274265809314e-05,-6.74095015530001e-33,-6.740766572942253e-33,2.2717284937858064e+23,1.0,1.0
1.0880946292622255e-08,91903770.33632602,-18.336252623875918,1.0880946292622255e-08,80502787073476.38,-161004116813034.1,5.412420706650461e-09,3.620580036066726e-05,0.9999637941996392,1.076482450030426e-28,-1.000000054159083,-4.518535047109375e-05,4.518044905345449e-05,4.518351162730028e-05,2.2590735031839358e-05,4.518351162730028e-05,2.2590735031839358e-05,1.0,9.037274265806254e-05,-6.972484929075486e-33,-6.972296102216306e-33,2.1962911566055388e+23,1.0,1.0
1.097320097309776e-08,91131110.37321107,-18.327809811868274,1.097320097309776e-08,79154871753275.75,-158308298425056.6,5.458310202790113e-09,3.651276195164855e-05,0.999963487238048,1.1134570972307205e-28,-1.0000000545875518,-4.518535047109375e-05,4.518044211722512e-05,4.518350469107091e-05,2.2590731563881375e-05,4.518350469107091e-05,2.2590731563881378e-05,1.0,9.037274265863546e-05,-7.211972315270858e-33,-7.21177810943025e-33,2.1233588751135182e+23,1.0,1.0
1.1066237839776632e-08,90364946.37223041,-18.31936699986063,1.1066237839776632e-08,77829525637567.66,-155657618343054.84,5.504588775457642e-09,3.6822325941905e-05,0.9999631776740581,1.1517017338510945e-28,-1.000000055019393,-4.518535047109375e-05,4.518043512415233e-05,4.518349769799812e-05,2.259072806750297e-05,4.518349769799812e-05,2.259072806750297e-05,1.0,9.037274265823249e-05,-7.459685463810875e-33,-7.459485742116564e-33,2.0528484634746092e+23,1.0,1.0
1.1160063524466134e-08,89605223.72006603,-18.310924187852983,1.1160063524466134e-08,76526370831589.6,-153051320778369.62,5.551259723459053e-09,3.713451439276698e-05,0.9999628654856071,1.1912599808180726e-28,-1.0000000554546329,-4.518535047109375e-05,4.51804280711275e-05,4.518349064497329e-05,2.2590724541149895e-05,4.518349064497329e-05,2.2590724541149898e-05,1.0,9.03727426581588e-05,-7.715906906976618e-33,-7.715701529700977e-33,1.9846794982685172e+23,1.0,1.0
1.1254684715201546e-08,88851888.26254983,-18.30248137584534,1.1254684715201546e-08,75245035767990.66,-150488662597158.0,5.598326373569394e-09,3.744934955255746e-05,0.9999625506504473,1.2321769573211514e-28,-1.0000000558932982,-4.518535047109375e-05,4.5180420958150626e-05,4.5183483531996416e-05,2.2590720984822157e-05,4.5183483531996416e-05,2.2590720984822157e-05,1.0,9.037274265816292e-05,-7.98092888094069e-33,-7.980717705743847e-33,1.9187742266890143e+23,1.0,1.0
1.1350108156723125e-08,88104886.3008016,-18.294038563837695,1.1350108156723125e-08,73985155100883.25,-147968913108496.3,5.645792080770011e-09,3.776685385817703e-05,0.999962233146142,1.2744993322740116e-28,-1.0000000563354154,-4.518535047109375e-05,4.518041378477762e-05,4.518347635862341e-05,2.2590717398297708e-05,4.518347635862341e-05,2.259071739829771e-05,1.0,9.037274265821362e-05,-8.255053659353584e-33,-8.254836541250472e-33,1.8550574778873798e+23,1.0,1.0
1.144634065095673e-08,87364164.58740248,-18.28559575183005,1.144634065095673e-08,72746369601673.97,-145491353856042.12,5.693660228487617e-09,3.8087049936701336e-05,0.9999619129500635,1.318275377543104e-28,-1.000000056781012,-4.518535047109375e-05,4.518040655100848e-05,4.518346912485427e-05,2.2590713781576568e-05,4.518346912485427e-05,2.2590713781576568e-05,1.0,9.03727426580552e-05,-8.538593898019594e-33,-8.53837068942852e-33,1.793456577226503e+23,1.0,1.0
1.1543389057498747e-08,86629670.3225988,-18.277152939822404,1.1543389057498747e-08,71528326056635.44,-143055278413177.8,5.7419342288355095e-09,3.840996060699284e-05,0.9999615900393929,1.3635550230045829e-28,-1.0000000572301146,-4.518535047109375e-05,4.518039925595503e-05,4.518346182980082e-05,2.2590710134214652e-05,4.518346182980082e-05,2.2590710134214652e-05,1.0,9.037274265787394e-05,-8.831872991614771e-33,-8.831643542287547e-33,1.733901263397405e+23,1.0,1.0
1.1641260294104894e-08,85901351.15053971,-18.26871012781476,1.1641260294104894e-08,70330677166196.31,-140659992181591.06,5.790617522856708e-09,3.873560888132537e-05,0.9999612643911185,1.4103899134921626e-28,-1.000000057682751,-4.518535047109375e-05,4.518039189784091e-05,4.51834544716867e-05,2.2590706455323825e-05,4.51834544716867e-05,2.2590706455323825e-05,1.0,9.037274265829815e-05,-9.13522544254348e-33,-9.134989599485859e-33,1.6763236082785762e+23,1.0,1.0
