alpha,Omega_m0,min_sound_numerator,a_at_min_sound_numerator,min_D,min_Qs_over_Mpl2,a_at_min_Qs,min_cs2
0.02,0.24,8.36518441798779e-29,9.999999999999982e-09,8.36518441798779e-29,4.182592208993895e-29,9.999999999999982e-09,1.0
0.02,0.25,8.255092442586496e-29,9.999999999999982e-09,8.255092442586496e-29,4.127546221293248e-29,9.999999999999982e-09,1.0
0.02,0.26,8.145000749962727e-29,9.999999999999982e-09,8.145000749962727e-29,4.0725003749813633e-29,9.999999999999982e-09,1.0
0.02,0.27,8.034909340115411e-29,9.999999999999982e-09,8.034909340115411e-29,4.0174546700577053e-29,9.999999999999982e-09,1.0
0.02,0.27999999999999997,7.924818213043488e-29,9.999999999999982e-09,7.924818213043488e-29,3.962409106521744e-29,9.999999999999982e-09,1.0
0.02,0.29,7.814727368745892e-29,9.999999999999982e-09,7.814727368745892e-29,3.907363684372946e-29,9.999999999999982e-09,1.0
0.02,0.3,7.70463680722155e-29,9.999999999999982e-09,7.70463680722155e-29,3.852318403610775e-29,9.999999999999982e-09,1.0
0.02,0.31,7.594546528469398e-29,9.999999999999982e-09,7.594546528469398e-29,3.797273264234699e-29,9.999999999999982e-09,1.0
0.02,0.32,7.484456532488369e-29,9.999999999999982e-09,7.484456532488369e-29,3.7422282662441845e-29,9.999999999999982e-09,1.0
0.02,0.32999999999999996,7.374366819277386e-29,9.999999999999982e-09,7.374366819277386e-29,3.687183409638693e-29,9.999999999999982e-09,1.0
0.02,0.33999999999999997,7.264277388835397e-29,9.999999999999982e-09,7.264277388835397e-29,3.6321386944176985e-29,9.999999999999982e-09,1.0
0.02,0.35,7.154188241161328e-29,9.999999999999982e-09,7.154188241161328e-29,3.577094120580664e-29,9.999999999999982e-09,1.0
0.02,0.36,7.044099376254104e-29,9.999999999999982e-09,7.044099376254104e-29,3.522049688127052e-29,9.999999999999982e-09,1.0
0.02,0.37,6.934010794112675e-29,9.999999999999982e-09,6.934010794112675e-29,3.4670053970563375e-29,9.999999999999982e-09,1.0
0.02,0.38,6.823922494735952e-29,9.999999999999982e-09,6.823922494735952e-29,3.411961247367976e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.24,8.365184480549555e-29,9.999999999999982e-09,8.365184480549555e-29,4.1825922402747775e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.25,8.255092504324882e-29,9.999999999999982e-09,8.255092504324882e-29,4.127546252162441e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.26,8.145000810877738e-29,9.999999999999982e-09,8.145000810877738e-29,4.072500405438869e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.27,8.034909400207047e-29,9.999999999999982e-09,8.034909400207047e-29,4.0174547001035236e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.27999999999999997,7.924818272311754e-29,9.999999999999982e-09,7.924818272311754e-29,3.962409136155877e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.29,7.814727427190791e-29,9.999999999999982e-09,7.814727427190791e-29,3.9073637135953954e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.3,7.704636864843084e-29,9.999999999999982e-09,7.704636864843084e-29,3.852318432421542e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.31,7.594546585267571e-29,9.999999999999982e-09,7.594546585267571e-29,3.7972732926337855e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.32,7.48445658846318e-29,9.999999999999982e-09,7.48445658846318e-29,3.74222829423159e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.32999999999999996,7.374366874428839e-29,9.999999999999982e-09,7.374366874428839e-29,3.687183437214419e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.33999999999999997,7.264277443163495e-29,9.999999999999982e-09,7.264277443163495e-29,3.6321387215817476e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.35,7.154188294666075e-29,9.999999999999982e-09,7.154188294666075e-29,3.5770941473330373e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.36,7.044099428935501e-29,9.999999999999982e-09,7.044099428935501e-29,3.5220497144677504e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.37,6.934010845970723e-29,9.999999999999982e-09,6.934010845970723e-29,3.4670054229853617e-29,9.999999999999982e-09,1.0
0.08199999999999999,0.38,6.823922545770658e-29,9.999999999999982e-09,6.823922545770658e-29,3.411961272885329e-29,9.999999999999982e-09,1.0
0.144,0.24,8.36518454311132e-29,9.999999999999982e-09,8.36518454311132e-29,4.18259227155566e-29,9.999999999999982e-09,1.0
